Pos.,Driver,AUS,BRA,SMR,MON,ESP,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,EUR,MAL,JPN,Points
1,Mika Häkkinen,RetP,1PF,RetP,3PF,1P,1,2,RetPF,3PF,RetP,1P,2PF,RetP,5F,3,1,76
2,Eddie Irvine,1,5,Ret,2,4,3F,6,2,1,1,3,4,6,7,1,3,74
3,Heinz-Harald Frentzen,2,3†,Ret,4,Ret,11†,1,4,4,3,4,3,1,RetP,6,4,54
4,David Coulthard,Ret,Ret,2,Ret,2,7,RetF,1,2,5F,2F,1,5,Ret,Ret,Ret,48
5,Michael Schumacher,8F,2,1F,1,3F,RetP,5,DNS,,,,,,,2PF,2PF,44
6,Ralf Schumacher,3,4,Ret,Ret,5,4,4,3,Ret,4,9,5,2F,4,Ret,5,35
7,Rubens Barrichello,5,Ret,3,9†,DSQ,Ret,3P,8,Ret,Ret,5,10,4,3,5,8,21
8,Johnny Herbert,DNS,Ret,10†,Ret,Ret,5,Ret,12,14,11†,11,Ret,Ret,1,4,7,15
9,Giancarlo Fisichella,4,Ret,5,5,9,2,Ret,7,12†,Ret,Ret,11,Ret,Ret,11,14†,13
10,Mika Salo,,,7†,Ret,8,,,,9,2,12,7,3,Ret,,,10
11,Jarno Trulli,Ret,Ret,Ret,7,6,Ret,7,9,7,Ret,8,12,Ret,2,DNS,Ret,7
12,Damon Hill,Ret,Ret,4,Ret,7,Ret,Ret,5,8,Ret,6,6,10,Ret,Ret,Ret,7
13,Alexander Wurz,Ret,7,Ret,6,10,Ret,Ret,10,5,7,7,14,Ret,Ret,8,10,3
14,Pedro Diniz,Ret,Ret,Ret,Ret,Ret,6,Ret,6,6,Ret,Ret,Ret,Ret,Ret,Ret,11,3
15,Jean Alesi,Ret,Ret,6,Ret,Ret,Ret,Ret,14,Ret,8,16†,9,9,Ret,7,6,2
16,Olivier Panis,Ret,6,Ret,Ret,Ret,9,8,13,10,6,10,13,11†,9,Ret,Ret,2
17,Marc Gené,Ret,9,9,Ret,Ret,8,Ret,15,11,9,17,16,Ret,6,9,Ret,1
18,Pedro de la Rosa,6,Ret,Ret,Ret,11,Ret,11,Ret,Ret,Ret,15,Ret,Ret,Ret,Ret,13,1
19,Alessandro Zanardi,Ret,Ret,11†,8,Ret,Ret,Ret,11,Ret,Ret,Ret,8,7,Ret,10,Ret,0
20,Toranosuke Takagi,7,8,Ret,Ret,12,Ret,DSQ,16,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,0
21,Jacques Villeneuve,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,15,8,10†,Ret,9,0
22,Ricardo Zonta,Ret,DNQ,,,,Ret,9,Ret,15†,Ret,13,Ret,Ret,8,Ret,12,0
23,Luca Badoer,Ret,,8,Ret,Ret,10,10,Ret,13,10,14,Ret,Ret,Ret,Ret,Ret,0
24,Stéphane Sarrazin,,Ret,,,,,,,,,,,,,,,0
Pos.,Driver,AUS,BRA,SMR,MON,ESP,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,EUR,MAL,JPN,Points
Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16]
