Pos.,Constructor,No.,AUS,BRA,SMR,MON,ESP,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,EUR,MAL,JPN,Points
1,Ferrari,3,8F,2,1F,1,3F,RetP,5,DNS,9,2,12,7,3,Ret,2PF,2PF,128
1,Ferrari,4,1,5,Ret,2,4,3F,6,2,1,1,3,4,6,7,1,3,128
2,McLaren-Mercedes,1,RetP,1PF,RetP,3PF,1P,1,2,RetPF,3PF,RetP,1P,2PF,RetP,5F,3,1,124
2,McLaren-Mercedes,2,Ret,Ret,2,Ret,2,7,RetF,1,2,5F,2F,1,5,Ret,Ret,Ret,124
3,Jordan-Mugen-Honda,7,Ret,Ret,4,Ret,7,Ret,Ret,5,8,Ret,6,6,10,Ret,Ret,Ret,61
3,Jordan-Mugen-Honda,8,2,3†,Ret,4,Ret,11†,1,4,4,3,4,3,1,RetP,6,4,61
4,Stewart-Ford,16,5,Ret,3,9†,DSQ,Ret,3P,8,Ret,Ret,5,10,4,3,5,8,36
4,Stewart-Ford,17,DNS,Ret,10†,Ret,Ret,5,Ret,12,14,11†,11,Ret,Ret,1,4,7,36
5,Williams-Supertec,5,Ret,Ret,11†,8,Ret,Ret,Ret,11,Ret,Ret,Ret,8,7,Ret,10,Ret,35
5,Williams-Supertec,6,3,4,Ret,Ret,5,4,4,3,Ret,4,9,5,2F,4,Ret,5,35
6,Benetton-Playlife,9,4,Ret,5,5,9,2,Ret,7,12†,Ret,Ret,11,Ret,Ret,11,14†,16
6,Benetton-Playlife,10,Ret,7,Ret,6,10,Ret,Ret,10,5,7,7,14,Ret,Ret,8,10,16
7,Prost-Peugeot,18,Ret,6,Ret,Ret,Ret,9,8,13,10,6,10,13,11†,9,Ret,Ret,9
7,Prost-Peugeot,19,Ret,Ret,Ret,7,6,Ret,7,9,7,Ret,8,12,Ret,2,DNS,Ret,9
8,Sauber-Petronas,11,Ret,Ret,6,Ret,Ret,Ret,Ret,14,Ret,8,16†,9,9,Ret,7,6,5
8,Sauber-Petronas,12,Ret,Ret,Ret,Ret,Ret,6,Ret,6,6,Ret,Ret,Ret,Ret,Ret,Ret,11,5
9,Arrows,14,6,Ret,Ret,Ret,11,Ret,11,Ret,Ret,Ret,15,Ret,Ret,Ret,Ret,13,1
9,Arrows,15,7,8,Ret,Ret,12,Ret,DSQ,16,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,1
10,Minardi-Ford,20,Ret,Ret,8,Ret,Ret,10,10,Ret,13,10,14,Ret,Ret,Ret,Ret,Ret,1
10,Minardi-Ford,21,Ret,9,9,Ret,Ret,8,Ret,15,11,9,17,16,Ret,6,9,Ret,1
11,BAR-Supertec,22,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,15,8,10†,Ret,9,0
11,BAR-Supertec,23,Ret,DNQ,7†,Ret,8,Ret,9,Ret,15†,Ret,13,Ret,Ret,8,Ret,12,0
Pos.,Constructor,No.,AUS,BRA,SMR,MON,ESP,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,EUR,MAL,JPN,Points
Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16]
