Pos,Driver,RSA,BRA,USW,SMR,BEL,MON,DET,CAN,NED,GBR,FRA,GER,AUT,SUI,ITA,CPL,Points
1,Keke Rosberg,5,DSQ,2,,2,Ret,4,Ret,3,RetP,5,3,2,1,8,5,44
2,Didier Pironi,18,6,Ret,1F,DNS,2,3,9PF,1,2,3,DNSP,,,,,39
3,John Watson,6,2,6,,1F,Ret,1,3,9,Ret,Ret,Ret,Ret,13,4,2,39
4,Alain Prost,1F,1PF,Ret,Ret,RetP,7,NCPF,Ret,Ret,6,2,Ret,8,2PF,Ret,4P,34
5,Niki Lauda,4,Ret,1F,,DSQ,Ret,Ret,Ret,4,1,8,DNS,5,3,Ret,Ret,30
6,René Arnoux,3P,Ret,Ret,RetP,Ret,RetP,10,Ret,RetP,Ret,1P,2,Ret,16,1F,Ret,28
7,Patrick Tambay,,,,,,,,,8,3,4,1,4,DNS,2,DNS,25
8,Michele Alboreto,7,4,4,3,Ret,10,Ret,Ret,7,Ret,6,4,Ret,7,5,1F,25
9,Elio de Angelis,8,Ret,5,,4,5,Ret,4,Ret,4,Ret,Ret,1,6,Ret,Ret,23
10,Riccardo Patrese,Ret,Ret,3,,Ret,1F,Ret,2,15,Ret,RetF,Ret,Ret,5,Ret,Ret,21
11,Nelson Piquet,Ret,DSQ,Ret,,5,Ret,DNQ,1,2,Ret,Ret,RetF,RetPF,4,Ret,Ret,20
12,Eddie Cheever,Ret,Ret,Ret,,3,Ret,2,10,DNQ,Ret,16,Ret,Ret,Ret,6,3,15
13,Derek Daly,14,Ret,Ret,,Ret,6,5,7,5,5,7,Ret,Ret,9,Ret,6,8
14,Nigel Mansell,Ret,3,7,,Ret,4,Ret,Ret,,Ret,,9,Ret,8,7,Ret,7
15,Carlos Reutemann,2,Ret,,,,,,,,,,,,,,,6
=,Gilles Villeneuve,Ret,Ret,DSQ,2,DNS†,,,,,,,,,,,,6
17,Andrea de Cesaris,13,Ret,RetP,Ret,Ret,3,Ret,6,Ret,Ret,Ret,Ret,Ret,10,10,9,5
18,Jacques Laffite,Ret,Ret,Ret,,9,Ret,6,Ret,Ret,Ret,14,Ret,3,Ret,Ret,Ret,5
19,Mario Andretti,,,Ret,,,,,,,,,,,,3P,Ret,4
20,Jean-Pierre Jarier,Ret,9,Ret,4,Ret,DNQ,Ret,Ret,14,Ret,Ret,Ret,DNQ,Ret,Ret,DNS,3
21,Marc Surer,,,,,7,9,8,5,10,Ret,13,6,Ret,15,Ret,7,3
22,Bruno Giacomelli,11,Ret,Ret,Ret,Ret,Ret,Ret,Ret,11,7,9,5,Ret,12,Ret,10,2
23,Eliseo Salazar,9,Ret,Ret,5,Ret,Ret,Ret,Ret,13,DNQ,Ret,Ret,DNQ,14,9,DNQ,2
24,Manfred Winkelhock,10,5,Ret,DSQ,Ret,Ret,Ret,DNQ,12,DNQ,11,Ret,Ret,Ret,DNQ,NC,2
25,Mauro Baldi,DNQ,10,DNQ,,Ret,DNQ,Ret,8,6,9,Ret,Ret,6,DNQ,12,11,2
26,Chico Serra,17,Ret,DNQ,,6,DNPQ,11,DNQ,Ret,Ret,DNQ,11,7,DNQ,11,DNQ,1
—,Brian Henton,DNQ,DNQ,Ret,Ret,Ret,8,9,NC,Ret,8F,10,7,Ret,11,Ret,8,0
—,Jochen Mass,12,8,8,,Ret,DNQ,7,11,Ret,10,Ret,,,,,,0
—,Slim Borgudd,16,7,10,,,,,,,,,,,,,,0
—,Raul Boesel,15,Ret,9,,8,DNPQ,Ret,Ret,Ret,DNQ,DNQ,Ret,DNQ,Ret,DNQ,13,0
—,Roberto Guerrero,WD,DNQ,Ret,,DNQ,DNQ,Ret,Ret,DNQ,Ret,DNQ,8,Ret,Ret,NC,DNS,0
—,Derek Warwick,Ret,DNQ,DNPQ,Ret,Ret,DNQ,,,RetF,Ret,15,10,Ret,Ret,Ret,Ret,0
—,Rupert Keegan,,,,,,,,,,,,DNQ,Ret,Ret,DNQ,12,0
—,Geoff Lees,,,,,,,,Ret,,,12,,,,,,0
—,Teo Fabi,DNQ,DNQ,DNQ,NC,Ret,DNPQ,,,DNQ,Ret,Ret,DNQ,Ret,Ret,Ret,DNQ,0
—,Riccardo Paletti,DNQ,DNPQ,DNQ,Ret,DNPQ,DNPQ,DNS,Ret†,,,,,,,,,0
—,Tommy Byrne,,,,,,,,,,,,DNQ,Ret,DNQ,DNQ,Ret,0
—,Jan Lammers,,,,,DNQ,DNQ,DNQ,,Ret,DNQ,DNQ,,,,,,0
—,Emilio de Villota,,,,,DNPQ,DNPQ,DNQ,DNQ,DNPQ,,,,,,,,0
—,Roberto Moreno,,,,,,,,,DNQ,,,,,,,,0
Pos,Driver,RSA,BRA,USW,SMR,BEL,MON,DET,CAN,NED,GBR,FRA,GER,AUT,SUI,ITA,CPL,Points
Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132],Sources:[129][132]
