vteWorld championships in 2020,vteWorld championships in 2020.1
Summer sports & indoor sports,Athletics race walking half marathon Beach handball men women Bowls outdoor indoor Cricket men Test women T20 Cycling road track mountain bike cyclo-cross Floorball (men) Nine-pin bowling Sambo Table tennis men women Windsurfing
Winter sports,Bandy men women Biathlon Bobsleigh / skeleton Curling men women mixed mixed doubles wheelchair Figure skating Ice hockey men women Luge Ski flying Speed skating allround single distances sprint short track
Cue & mind sports,Chess women Darts BDO PDC Snooker
Motor sports,Aquabike Endurance auto racing Endurance motorcycle racing F1 Powerboat Formula E 2020–21 Formula One Motocross men women team MotoGP Moto2 Moto3 MotoE Radio-controlled racing 1:12 Electric track Rally Rallycross Rally raid Auto Moto Bajas auto Bajas moto Speedway individual team Superbike Supersport Supersport 300 Touring car
