Pos,Driver,BRA,RSA,USW,ESP,BEL,MON,SWE,FRA,Unnamed: 10,GBR,GER,AUT,NED,ITA,CAN,USA,JPN,Pts
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,James Hunt,Ret,2,Ret,1,Ret,Ret,5,1,DSQ,1,4,1,Ret,1,1,3,69,
2,Niki Lauda,1,1,2,2,1,1,3,Ret,1,Ret,,,4,8,3,Ret,68,
3,Jody Scheckter,5,4,Ret,Ret,4,2,1,6,2,2,Ret,5,5,4,2,Ret,49,
4,Patrick Depailler,2,9,3,Ret,Ret,3,2,2,Ret,Ret,Ret,7,6,2,Ret,2,39,
5,Clay Regazzoni,7,Ret,1,11,2,14,6,Ret,DSQ,9,,2,2,6,7,5,31,
6,Mario Andretti,Ret,6,Ret,Ret,Ret,,Ret,5,Ret,12,5,3,Ret,3,Ret,1,22,
7,John Watson,Ret,5,NC,Ret,7,10,Ret,3,3,7,1,Ret,11,10,6,Ret,20,
8,Jacques Laffite,Ret,Ret,4,12,3,12,4,14,DSQ,Ret,2,Ret,3,Ret,Ret,7,20,
9,Jochen Mass,6,3,5,Ret,6,5,11,15,Ret,3,7,9,Ret,5,4,Ret,19,
10,Gunnar Nilsson,,Ret,Ret,3,Ret,Ret,Ret,Ret,Ret,5,3,Ret,13,12,Ret,6,11,
11,Ronnie Peterson,Ret,Ret,10,Ret,Ret,Ret,7,19,Ret,Ret,6,Ret,1,9,Ret,Ret,10,
12,Tom Pryce,3,7,Ret,8,10,7,9,8,4,8,Ret,4,8,11,Ret,Ret,10,
