Entrant,Constructor,Chassis,Engine,Driver,Rounds
Porsche System Engineering,Porsche,787 718/2,Porsche 547/3 1.5 F4,Jo Bonnier,All
Porsche System Engineering,Porsche,787 718/2,Porsche 547/3 1.5 F4,Dan Gurney,All
Porsche System Engineering,Porsche,787 718/2,Porsche 547/3 1.5 F4,Hans Herrmann,"1, 6"
Scuderia Colonia,Lotus-Climax,18,Climax FPF 1.5 L4,Michael May,"1, 4, 6"
Scuderia Colonia,Lotus-Climax,18,Climax FPF 1.5 L4,Wolfgang Seidel,"3, 5–7"
Equipe Nationale Belge,Emeryson-Maserati,61,Maserati Tipo 6 1.5 L4,Olivier Gendebien,1
Equipe Nationale Belge,Emeryson-Maserati,61,Maserati Tipo 6 1.5 L4,Lucien Bianchi,1
Equipe Nationale Belge,Lotus-Climax,18,Climax FPF 1.5 L4,Lucien Bianchi,3
Equipe Nationale Belge,Lotus-Climax,18,Climax FPF 1.5 L4,Willy Mairesse,3
Equipe Nationale Belge,Emeryson-Climax,61,Climax FPF 1.5 L4,André Pilette,7
Camoradi International,Cooper-Climax,T53,Climax FPF 1.5 L4,Masten Gregory,1–5
Camoradi International,Cooper-Climax,T53,Climax FPF 1.5 L4,Ian Burgess,6
Camoradi International,Lotus-Climax,18,Climax FPF 1.5 L4,Ian Burgess,2–5
Owen Racing Organisation,BRM-Climax,P48/57,Climax FPF 1.5 L4,Tony Brooks,All
Owen Racing Organisation,BRM-Climax,P48/57,Climax FPF 1.5 L4,Graham Hill,All
R.R.C. Walker Racing Team,Lotus-Climax,18 18/21 21,Climax FPF 1.5 L4,Stirling Moss,All
R.R.C. Walker Racing Team,Ferguson-Climax,P99,Climax FPF 1.5 L4,Stirling Moss,5
R.R.C. Walker Racing Team,Ferguson-Climax,P99,Climax FPF 1.5 L4,Jack Fairman,5
Yeoman Credit Racing Team,Cooper-Climax,T53,Climax FPF 1.5 L4,John Surtees,All
Yeoman Credit Racing Team,Cooper-Climax,T53,Climax FPF 1.5 L4,Roy Salvadori,4–8
Cooper Car Company,Cooper-Climax,T55 T58,Climax FPF 1.5 L4 Climax FWMV 1.5 V8,Jack Brabham,All
Cooper Car Company,Cooper-Climax,T55 T58,Climax FPF 1.5 L4 Climax FWMV 1.5 V8,Bruce McLaren,All
Team Lotus,Lotus-Climax,21 18 18/21,Climax FPF 1.5 L4,Jim Clark,All
Team Lotus,Lotus-Climax,21 18 18/21,Climax FPF 1.5 L4,Innes Ireland,"1, 3–8"
Team Lotus,Lotus-Climax,21 18 18/21,Climax FPF 1.5 L4,Trevor Taylor,2
Team Lotus,Lotus-Climax,21 18 18/21,Climax FPF 1.5 L4,Willy Mairesse,4
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Cliff Allison,"1, 3"
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Henry Taylor,"1, 3–5, 7"
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Lucien Bianchi,4–5
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Juan Manuel Bordeu,4
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Masten Gregory,7–8
UDT Laystall Racing Team,Lotus-Climax,18 18/21,Climax FPF 1.5 L4,Olivier Gendebien,8
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Richie Ginther,1–7
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Phil Hill,1–7
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Wolfgang von Trips,1–7
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Olivier Gendebien,3
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Willy Mairesse,6
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6 Ferrari 188 1.5 V6,Ricardo Rodríguez,7
Scuderia Serenissima,Cooper-Maserati,T51,Maserati Tipo 6 1.5 L4,Maurice Trintignant,"1, 3–4, 6–7"
Scuderia Serenissima,De Tomaso-OSCA,F1,OSCA 372 1.5 L4,Giorgio Scarlatti,4
Scuderia Serenissima,De Tomaso-Alfa Romeo,F1,Alfa Romeo Giulietta 1.5 L4,Nino Vaccarella,7
Ecurie Maarsbergen,Porsche,718,Porsche 547/3 1.5 F4,Carel Godin de Beaufort,2–7
Ecurie Maarsbergen,Porsche,718,Porsche 547/3 1.5 F4,Hans Herrmann,2
H&L Motors,Cooper-Climax,T53,Climax FPF 1.5 L4,Jackie Lewis,3–7
Tony Marsh,Lotus-Climax,18,Climax FPF 1.5 L4,Tony Marsh,"3, 5–6"
Scuderia Centro Sud,Cooper-Maserati,T53 T51,Maserati Tipo 6 1.5 L4,Lorenzo Bandini,"3, 5–7"
Scuderia Centro Sud,Cooper-Maserati,T53 T51,Maserati Tipo 6 1.5 L4,Massimo Natili,"5, 7"
Bernard Collomb,Cooper-Climax,T53,Climax FPF 1.5 L4,Bernard Collomb,"4, 6"
Tim Parnell,Lotus-Climax,18,Climax FPF 1.5 L4,Tim Parnell,"5, 7"
Gerry Ashmore,Lotus-Climax,18,Climax FPF 1.5 L4,Gerry Ashmore,5–7
Louise Bryden-Brown[6],Lotus-Climax,18,Climax FPF 1.5 L4,Tony Maggs,5–6
Gilby Engineering,Gilby-Climax,61,Climax FPF 1.5 L4,Keith Greene,5
FISA,Ferrari,156,Ferrari 178 1.5 V6,Giancarlo Baghetti,4
Scuderia Sant'Ambroeus,Ferrari,156,Ferrari 178 1.5 V6,Giancarlo Baghetti,"5, 7"
J.B. Naylor,JBW-Climax,59,Climax FPF 1.5 L4,Brian Naylor,7
Fred Tuck Cars,Cooper-Climax,T45,Climax FPF 1.5 L4,Jack Fairman,7
Scuderia Settecolli,De Tomaso-OSCA,F1,OSCA 372 1.5 L4,Roberto Lippi,7
Isobele de Tomaso,De Tomaso-Alfa Romeo,F1,Alfa Romeo Giulietta 1.5 L4,Roberto Bussinello,7
Pescara Racing Team,Cooper-Maserati,T45,Maserati Tipo 6 1.5 L4,Renato Pirocchi,7
Gaetano Starrabba,Lotus-Maserati,18,Maserati Tipo 6 1.5 L4,Gaetano Starrabba,7
Hap Sharp,Cooper-Climax,T53,Climax FPF 1.5 L4,Hap Sharp,8
John M. Wyatt III,Cooper-Climax,T53,Climax FPF 1.5 L4,Roger Penske,8
J. Wheeler Autosport,Lotus-Climax,18/21,Climax FPF 1.5 L4,Peter Ryan,8
Jim Hall,Lotus-Climax,18,Climax FPF 1.5 L4,Jim Hall,8
J. Frank Harrison,Lotus-Climax,18,Climax FPF 1.5 L4,Lloyd Ruby,8
Momo Corporation,Cooper-Climax,T53,Climax FPF 1.5 L4,Walt Hansgen,8
