vteWorld championships in 2014,vteWorld championships in 2014.1
Summer sports & indoor sports,Association football (men) Athletics (indoor) Basketball men women 3x3 basketball Diving Field hockey men women Floorball Futsal (women) Judo Orienteering Racquetball Rugby union wheelchair Shooting Squash (women's team) Sport climbing Swimming (25 m) Table tennis (team) Volleyball Water polo
Winter sports,Bandy men women Curling men women mixed doubles Figure skating Ice hockey men women Ski flying Speed skating allround sprint short track
Cue & mind sports,Chess open rapid blitz Darts BDO PDC Pool Nine-ball Snooker six-red
Motor sports,Air race Endurance Formula One F1 Powerboat Motocross MotoGP Moto2 Moto3 Motorcycle cross-country rally Rally Rallycross Sidecarcross Speedway individual team Superbike Supersport Touring car
