0,1
Active,LMDh LMH LMP LMP2 LMP3 Clubmans
Defunct,DP DPi Group 3 Group 4 Group 5 Group 6 Group 7 Group A Group C Group CN GC GC-21 IMSA GTP (1981–1993 era) LMP LMP1 LMPC S2000
