Titres,Pays,Championnat
35,Royaume-Uni,"1958, 1959, 1960, 1962, 1963, 1965, 1966, 1967, 1968, 1970, 1971, 1972, 1973, 1974, 1978, 1980, 1981, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2009, 2024, 2025"
16,Italie,"1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008"
8,Allemagne,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
6,Autriche,"2010, 2011, 2012, 2013, 2022, 2023"
3,France,"1969, 2005, 2006"
