Titres,Pneus,Pneus.1,Années
51,G,Goodyear[note 1],"Pilote : 1966, 1967, 1971, 1973 à 1978, 1980, 1981, 1982, 1985 à 1997 Constructeur : 1966, 1967, 1971, 1973 à 1978, 1980 à 1983, 1985 à 1997"
31,P,Pirelli[note 2],"Pilote : 1950 à 1954, 1957, 2011 à 2025 Constructeur : 2011 à 2025"
21,B,Bridgestone[note 3],"Pilote : 1998 à 2004, 2007 à 2010 Constructeur : 1998 à 2004, 2007 à 2010"
17,D,Dunlop,"Pilote : 1959 à 1965, 1969 Constructeur : 1958 à 1965, 1969"
11,M,Michelin,"Pilote : 1979, 1981, 1983, 1984, 2005, 2006 Constructeur : 1979, 1981, 1984, 2005, 2006"
6,F,Firestone,"Pilote : 1968, 1970, 1972 Constructeur : 1968, 1970, 1972"
2,C,Continental,"Pilote : 1954, 1955"
2,E,Englebert,"Pilote : 1956, 1958"
