Year,Driver(s),Constructor(s),Sprint wins,Sprints,Percentage
2021,Valtteri Bottas,Mercedes,2,3,66.67%
2022,Max Verstappen,Red Bull Racing-RBPT,2,3,66.67%
2023,Max Verstappen,Red Bull Racing-Honda RBPT,4,6,66.67%
2024,Max Verstappen,Red Bull Racing-Honda RBPT,4,6,66.67%
2025,Max Verstappen,Red Bull Racing-Honda RBPT,2,6,33.33%
2025,Lando Norris,McLaren-Mercedes,2,6,33.33%
