0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver AUS BRA SMR GBR ESP EUR MON CAN FRA AUT GER HUN BEL ITA USA JPN MAL Points 1  Michael Schumacher 1 1F 1 3 5P 1F RetP 1P RetP Ret Ret 2P 2 1P 1P 1P 1P 108 2  Mika Häkkinen RetP RetP 2PF 2F 1F 2 6F 4F 2 1P 2 1F 1P 2F Ret 2F 4F 89 3  David Coulthard Ret DSQ 3 1 2 3P 1 7 1F 2F 3P 3 4 Ret 5F 3 2 73 4  Rubens Barrichello 2F Ret 4 RetP 3 4 2 2 3 3 1F 4 RetF Ret 2 4 3 62 5  Ralf Schumacher 3 5 Ret 4 4 Ret Ret 14† 5 Ret 7 5 3 3 Ret Ret Ret 24 6  Giancarlo Fisichella 5 2 11 7 9 5 3 3 9 Ret Ret Ret Ret 11 Ret 14 9 18 7  Jacques Villeneuve 4 Ret 5 16† Ret Ret 7 15† 4 4 8 12 7 Ret 4 6 5 17 8  Jenson Button Ret 6 Ret 5 17† 10† Ret 11 8 5 4 9 5 Ret Ret 5 Ret 12 9  Heinz-Harald Frentzen Ret 3 Ret 17† 6 Ret 10† Ret 7 Ret Ret 6 6 Ret 3 Ret Ret 11 10  Jarno Trulli Ret 4 15† 6 12 Ret Ret 6 6 Ret 9 7 Ret Ret Ret 13 12 6 11  Mika Salo DSQ DNS 6 8 7 Ret 5 Ret 10 6 5 10 9 7 Ret 10 8 6 12  Jos Verstappen Ret 7 14 Ret Ret Ret Ret 5 Ret Ret Ret 13 15 4 Ret Ret 10 5 13  Eddie Irvine Ret Ret 7 13 11 Ret 4 13 13 WD 10 8 10 Ret 7 8 6 4 14  Ricardo Zonta 6 9 12 Ret 8 Ret Ret 8 Ret Ret Ret 14 12 6 6 9 Ret 3 15  Alexander Wurz 7 Ret 9 9 10 12† Ret 9 Ret 10 Ret 11 13 5 10 Ret 7 2 16  Pedro de la Rosa Ret 8 Ret Ret Ret 6 DNS Ret Ret Ret 6 16 16 Ret Ret 12 Ret 2 17  Johnny Herbert Ret Ret 10 12 13 11† 9 Ret Ret 7 Ret Ret 8 Ret 11 7 Ret 0 18  Pedro Diniz Ret DNS 8 11 Ret 7 Ret 10 11 9 Ret Ret 11 8 8 11 Ret 0 19  Marc Gené 8 Ret Ret 14 14 Ret Ret 16† 15 8 Ret 15 14 9 12 Ret Ret 0 20  Nick Heidfeld 9 Ret Ret Ret 16 EX 8 Ret 12 Ret 12† Ret Ret Ret 9 Ret Ret 0 21  Gastón Mazzacane Ret 10 13 15 15 8 Ret 12 Ret 12 11 Ret 17 10 Ret 15 13† 0 22  Jean Alesi Ret Ret Ret 10 Ret 9 Ret Ret 14 Ret Ret Ret Ret 12 Ret Ret 11 0 23  Luciano Burti 11 0 Pos. Driver AUS BRA SMR GBR ESP EUR MON CAN FRA AUT GER HUN BEL ITA USA JPN MAL Points Source:[17],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,BRA,SMR,GBR,ESP,EUR,MON,CAN,FRA,AUT,GER,HUN,BEL,ITA,USA,JPN,MAL,Points
1,Michael Schumacher,1,1F,1,3,5P,1F,RetP,1P,RetP,Ret,Ret,2P,2,1P,1P,1P,1P,108
2,Mika Häkkinen,RetP,RetP,2PF,2F,1F,2,6F,4F,2,1P,2,1F,1P,2F,Ret,2F,4F,89
3,David Coulthard,Ret,DSQ,3,1,2,3P,1,7,1F,2F,3P,3,4,Ret,5F,3,2,73
4,Rubens Barrichello,2F,Ret,4,RetP,3,4,2,2,3,3,1F,4,RetF,Ret,2,4,3,62
5,Ralf Schumacher,3,5,Ret,4,4,Ret,Ret,14†,5,Ret,7,5,3,3,Ret,Ret,Ret,24
6,Giancarlo Fisichella,5,2,11,7,9,5,3,3,9,Ret,Ret,Ret,Ret,11,Ret,14,9,18
7,Jacques Villeneuve,4,Ret,5,16†,Ret,Ret,7,15†,4,4,8,12,7,Ret,4,6,5,17
8,Jenson Button,Ret,6,Ret,5,17†,10†,Ret,11,8,5,4,9,5,Ret,Ret,5,Ret,12
9,Heinz-Harald Frentzen,Ret,3,Ret,17†,6,Ret,10†,Ret,7,Ret,Ret,6,6,Ret,3,Ret,Ret,11
10,Jarno Trulli,Ret,4,15†,6,12,Ret,Ret,6,6,Ret,9,7,Ret,Ret,Ret,13,12,6
11,Mika Salo,DSQ,DNS,6,8,7,Ret,5,Ret,10,6,5,10,9,7,Ret,10,8,6
12,Jos Verstappen,Ret,7,14,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,13,15,4,Ret,Ret,10,5
13,Eddie Irvine,Ret,Ret,7,13,11,Ret,4,13,13,WD,10,8,10,Ret,7,8,6,4
14,Ricardo Zonta,6,9,12,Ret,8,Ret,Ret,8,Ret,Ret,Ret,14,12,6,6,9,Ret,3
15,Alexander Wurz,7,Ret,9,9,10,12†,Ret,9,Ret,10,Ret,11,13,5,10,Ret,7,2
16,Pedro de la Rosa,Ret,8,Ret,Ret,Ret,6,DNS,Ret,Ret,Ret,6,16,16,Ret,Ret,12,Ret,2
17,Johnny Herbert,Ret,Ret,10,12,13,11†,9,Ret,Ret,7,Ret,Ret,8,Ret,11,7,Ret,0
18,Pedro Diniz,Ret,DNS,8,11,Ret,7,Ret,10,11,9,Ret,Ret,11,8,8,11,Ret,0
19,Marc Gené,8,Ret,Ret,14,14,Ret,Ret,16†,15,8,Ret,15,14,9,12,Ret,Ret,0
20,Nick Heidfeld,9,Ret,Ret,Ret,16,EX,8,Ret,12,Ret,12†,Ret,Ret,Ret,9,Ret,Ret,0
21,Gastón Mazzacane,Ret,10,13,15,15,8,Ret,12,Ret,12,11,Ret,17,10,Ret,15,13†,0
22,Jean Alesi,Ret,Ret,Ret,10,Ret,9,Ret,Ret,14,Ret,Ret,Ret,Ret,12,Ret,Ret,11,0
23,Luciano Burti,,,,,,,,,,11,,,,,,,,0
