Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Juan Manuel Fangio,"1, 3"
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Onofre Marimón,"1, 3–6"
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Luigi Musso,"1, 8–9"
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Birabongse Bhanudej,1
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Sergio Mantovani,"3–4, 6–9"
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Alberto Ascari,4–5
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Luigi Villoresi,"4–6, 8"
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Roberto Mieres,7–9
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Stirling Moss,7–9
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Harry Schell,7
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Louis Rosier,8
Officine Alfieri Maserati,Maserati,250F A6GCM,Maserati 250F1 2.5 L6 Maserati A6 2.0 L6,P,Paco Godia,9
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Giuseppe Farina,"1, 3"
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,José Froilán González,"1, 3–8"
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Mike Hawthorn,"1, 3–9"
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Umberto Maglioli,"1, 7–8"
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Maurice Trintignant,3–9
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Piero Taruffi,6
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Robert Manzon,7
Scuderia Ferrari,Ferrari,625 553 500,Ferrari 625 2.5 L4 Ferrari 554 2.5 L4 Ferrari 500 2.0 L4,P,Alberto Ascari,8
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Jean Behra,"1, 3–9"
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Élie Bayol,1
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Roger Loyer,1
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Paul Frère,"3–4, 6"
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,André Pilette,"3, 5–6"
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Jacques Pollet,"4, 9"
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Clemar Bucci,5–8
Equipe Gordini,Gordini,T16,Gordini 23 2.5 L6,E,Fred Wacker,7–8
Ecurie Rosier,Ferrari Maserati,500 625 250F,Ferrari 500 2.0 L4 Ferrari 625 2.5 L4 Maserati 250F1 2.5 L6,D P,Louis Rosier,"1, 4–6, 9"
Ecurie Rosier,Ferrari Maserati,500 625 250F,Ferrari 500 2.0 L4 Ferrari 625 2.5 L4 Maserati 250F1 2.5 L6,D P,Maurice Trintignant,1
Ecurie Rosier,Ferrari Maserati,500 625 250F,Ferrari 500 2.0 L4 Ferrari 625 2.5 L4 Maserati 250F1 2.5 L6,D P,Robert Manzon,"4–6, 8–9"
Harry Schell,Maserati,A6GCM 250F,Maserati A6 2.0 L6 Maserati 250F1 2.5 L6,P,Harry Schell,"1, 4–6, 9"
Emmanuel de Graffenried,Maserati,A6GCM,Maserati A6 2.0 L6,P,Toulo de Graffenried,"1, 9"
Emmanuel de Graffenried,Maserati,A6GCM,Maserati A6 2.0 L6,P,Ottorino Volonterio,9
Roberto Mieres,Maserati,A6GCM 250F,Maserati A6 2.0 L6 Maserati 250F1 2.5 L6,P,Roberto Mieres,"1, 3–6"
Jorge Daponte,Maserati,A6GCM,Maserati A6 2.0 L6,P,Jorge Daponte,"1, 8"
Onofre Marimón,Maserati,A6GCM,Maserati A6 2.0 L6,P,Carlos Menditeguy,1
Ecurie Francorchamps,Ferrari,500,Ferrari 500 2.0 L4,E,Jacques Swaters,"3, 7, 9"
Birabongse Bhanudej,Maserati,250F,Maserati 250F1 2.5 L6,P,Birabongse Bhanudej,"3–6, 9"
Birabongse Bhanudej,Maserati,250F,Maserati 250F1 2.5 L6,P,Ron Flockhart,5
Equipe Moss  A.E. Moss,Maserati,250F,Maserati 250F1 2.5 L6,P,Stirling Moss,"3, 5–6"
Daimler Benz AG,Mercedes,W196,Mercedes M196 2.5 L8,C,Juan Manuel Fangio,4–9
Daimler Benz AG,Mercedes,W196,Mercedes M196 2.5 L8,C,Karl Kling,4–9
Daimler Benz AG,Mercedes,W196,Mercedes M196 2.5 L8,C,Hans Herrmann,"4, 6–9"
Daimler Benz AG,Mercedes,W196,Mercedes M196 2.5 L8,C,Hermann Lang,6
Georges Berger,Gordini,T16,Gordini 23 2.5 L6,E,Georges Berger,4
HW Motors,HWM-Alta,53,Alta GP 2.5 L4,D,Lance Macklin,4
Owen Racing Organisation,Maserati,250F,Maserati 250F1 2.5 L6,D,Ken Wharton,"4–7, 9"
Owen Racing Organisation,Maserati,250F,Maserati 250F1 2.5 L6,D,Guerino Bertocchi,9
Gilby Engineering,Maserati,250F,Maserati 250F1 2.5 L6,D,Roy Salvadori,4–5
Scuderia Ambrosiana,Ferrari,500,Ferrari 500 2.0 L4,A,Reg Parnell,5
G.A. Vandervell  Vandervell Products,Vanwall,Special,Vanwall 254 2.5 L4,P,Peter Collins,"5, 8–9"
Peter Whitehead,Cooper-Alta,T24,Alta GP 2.5 L4,D,Peter Whitehead,5
Bill Whitehouse,Connaught-Lea-Francis,A,Lea-Francis 2.0 L4,D,Bill Whitehouse,5
Leslie Marr,Connaught-Lea-Francis,A,Lea-Francis 2.0 L4,D,Leslie Marr,5
R.R.C. Walker Racing Team,Connaught-Lea-Francis,A,Lea-Francis 2.0 L4,D,John Riseley-Prichard,5
Sir Jeremy Boles,Connaught-Lea-Francis,A,Lea-Francis 2.0 L4,D,Don Beauman,5
Ecurie Ecosse,Connaught-Lea-Francis,A,Lea-Francis 2.0 L4,D,Leslie Thorne,5
R.J. Chase,Cooper-Bristol,T23,Bristol BS1 2.0 L6,D,Alan Brown,5
Gould's Garage (Bristol),Cooper-Bristol,T23,Bristol BS1 2.0 L6,D,Horace Gould,5
Bob Gerard,Cooper-Bristol,T23,Bristol BS1 2.0 L6,D,Bob Gerard,5
Ecurie Richmond,Cooper-Bristol,T23,Bristol BS1 2.0 L6,D,Eric Brandon,5
Ecurie Richmond,Cooper-Bristol,T23,Bristol BS1 2.0 L6,D,Rodney Nuckey,5
Hans Klenk,Klenk-BMW,Meteor,BMW 328 2.0 L6,P,Theo Helfrich,6
Giovanni de Riu,Maserati,A6GCM,Maserati A6 2.0 L6,P,Giovanni de Riu,8
Scuderia Lancia,Lancia,D50,Lancia DS50 2.5 V8,P,Alberto Ascari,9
Scuderia Lancia,Lancia,D50,Lancia DS50 2.5 V8,P,Luigi Villoresi,9
