Pos.,Driver,ARG,500‡,BEL,FRA,GBR,GER,SUI,ITA,ESP,Pts.
1,Juan Manuel Fangio,1,,1PF,1P,(4PF*),1P,1F,(1P),(3),42 (57+1⁄7)
2,José Froilán González,3F,,(4)† / Ret,Ret,1F*,2†,2P,3† / RetF,,25+1⁄7 (26+9⁄14)
3,Mike Hawthorn,DSQ,,4†,Ret,2F*,2† / Ret,Ret,2,1,24+9⁄14
4,Maurice Trintignant,4,,2,Ret,5,3,Ret,5,Ret,17
5,Karl Kling,,,,2,7,4F,Ret,Ret,5,12
6,Bill Vukovich,,1,,,,,,,,8
7,Hans Herrmann,,,,RetF,,Ret,3,4,Ret,8
8,Luigi Musso,DNS,,,,,,,Ret,2,6
9,Nino Farina,2P,,Ret,,,,,,,6
10,Jimmy Bryan,,2,,,,,,,,6
11,Roberto Mieres,Ret,,Ret,Ret,6,Ret,4,Ret,4,6
12,Jack McGrath,,3PF,,,,,,,,5
13,Stirling Moss,,,3,,RetF*,Ret,Ret,10,Ret,4+1⁄7
14,Onofre Marimón,Ret,,Ret,Ret,3F*,DNS,,,,4+1⁄7
15,Robert Manzon,,,,3,Ret,9,DNS,Ret,Ret,4
16,Sergio Mantovani,,,7,,,5,5,9,Ret,4
17,Prince Bira,7,,6,4,Ret†,Ret,,,9,3
18,Umberto Maglioli,9,,,,,,7,3†,,2
19,André Pilette,,,5,,9,Ret,,,,2
20,Luigi Villoresi,,,,5,Ret†,DNS,,Ret,Ret,2
21,Élie Bayol,5,,,,,,,,,2
22,Mike Nazaruk,,5,,,,,,,,2
23,Troy Ruttman,,4†,,,,,,,,1+1⁄2
24,Duane Carter,,4† / 15†,,,,,,,,1+1⁄2
25,Alberto Ascari,,,,Ret,Ret / Ret†F*,,,Ret,RetPF,1+1⁄7
26,Jean Behra,DSQ,,Ret,6,RetF*,10,Ret,Ret,Ret,1⁄7
—,Harry Schell,6,,,Ret,12,7,Ret,,Ret,0
—,Ken Wharton,,,,Ret,8,DNS,6,,8,0
—,Fred Wacker,,,,,,,Ret,6,,0
—,Fred Agabashian,,6,,,,,,,,0
—,Piero Taruffi,,,,,,6,,,,0
—,Paco Godia,,,,,,,,,6,0
—,Louis Rosier,Ret,,,Ret,Ret,8,,8,7,0
—,Peter Collins,,,,,Ret,,,7,DNS,0
—,Don Freeland,,7,,,,,,,,0
—,Jacques Swaters,,,Ret,,,,8,,Ret,0
—,Toulo de Graffenried,8,,,,,,,,Ret†,0
—,Paul Russo,,8,,,,,,,,0
—,Larry Crockett,,9,,,,,,,,0
—,Cal Niday,,10,,,,,,,,0
—,Bob Gerard,,,,,10,,,,,0
—,Jorge Daponte,Ret,,,,,,,11,,0
—,Art Cross,,11,,,,,,,,0
—,Don Beauman,,,,,11,,,,,0
—,Chuck Stevenson,,12,,,,,,,,0
—,Manny Ayulo,,13,,,,,,,,0
—,Leslie Marr,,,,,13,,,,,0
—,Bob Sweikert,,14,,,,,,,,0
—,Leslie Thorne,,,,,14,,,,,0
—,Horace Gould,,,,,15,,,,,0
—,Jimmy Jackson,,15†,,,,,,,,0
—,Ernie McCoy,,16,,,,,,,,0
—,Jimmy Reece,,17,,,,,,,,0
—,Ed Elisian,,18,,,,,,,,0
—,Frank Armi,,19,,,,,,,,0
—,Clemar Bucci,,,,,Ret,Ret,Ret,Ret,,0
—,Paul Frère,,,Ret,Ret,,Ret,,,,0
—,Roy Salvadori,,,,Ret,Ret,,,,,0
—,Jacques Pollet,,,,Ret,,,,,Ret,0
—,Roger Loyer,Ret,,,,,,,,,0
—,Sam Hanks,,Ret,,,,,,,,0
—,Pat O'Connor,,Ret,,,,,,,,0
—,Rodger Ward,,Ret,,,,,,,,0
—,Gene Hartley,,Ret,,,,,,,,0
—,Andy Linden,,Ret,,,,,,,,0
—,Johnny Thomson,,Ret,,,,,,,,0
—,Jerry Hoyt,,Ret,,,,,,,,0
—,Jimmy Daywalt,,Ret,,,,,,,,0
—,Tony Bettenhausen,,Ret,,,,,,,,0
—,Spider Webb,,Ret,,,,,,,,0
—,Bill Homeier,,Ret,,,,,,,,0
—,Johnnie Parsons,,Ret,,,,,,,,0
—,Len Duncan,,Ret,,,,,,,,0
—,Pat Flaherty,,Ret†,,,,,,,,0
—,Jim Rathmann,,Ret†,,,,,,,,0
—,Lance Macklin,,,,Ret,,,,,,0
—,Georges Berger,,,,Ret,,,,,,0
—,Bill Whitehouse,,,,,Ret,,,,,0
—,John Riseley-Prichard,,,,,Ret,,,,,0
—,Reg Parnell,,,,,Ret,,,,,0
—,Peter Whitehead,,,,,Ret,,,,,0
—,Eric Brandon,,,,,Ret,,,,,0
—,Ron Flockhart,,,,,Ret†,,,,,0
—,Hermann Lang,,,,,,Ret,,,,0
—,Theo Helfrich,,,,,,Ret,,,,0
—,Ottorino Volonterio,,,,,,,,,Ret†,0
—,Carlos Menditeguy,DNS,,,,,,,,,0
—,Alan Brown,,,,,DNS,,,,,0
—,Rodney Nuckey,,,,,DNS,,,,,0
—,Giovanni de Riu,,,,,,,,DNQ,,0
Pos.,Driver,ARG,500‡,BEL,FRA,GBR,GER,SUI,ITA,ESP,Pts.
