Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Scuderia Ferrari[a],Ferrari,SF71H,Ferrari 062 EVO,5 7,Sebastian Vettel  Kimi Räikkönen,All All
Sahara Force India F1 Team,Force India-Mercedes,VJM11,Mercedes M09 EQ Power+,11 31,Sergio Pérez  Esteban Ocon,1–12 1–12
Racing Point Force India F1 Team[b],Force India-Mercedes,VJM11,Mercedes M09 EQ Power+,11 31,Sergio Pérez  Esteban Ocon,13–21 13–21
Haas F1 Team,Haas-Ferrari,VF-18,Ferrari 062 EVO,8 20,Romain Grosjean  Kevin Magnussen,All All
McLaren F1 Team,McLaren-Renault,MCL33,Renault R.E.18,2 14,Stoffel Vandoorne  Fernando Alonso,All All
Mercedes AMG Petronas Motorsport,Mercedes,F1 W09 EQ Power+,Mercedes M09 EQ Power+,44 77,Lewis Hamilton  Valtteri Bottas,All All
Aston Martin Red Bull Racing,Red Bull Racing-TAG Heuer,RB14,TAG Heuer F1-2018[c],3 33,Daniel Ricciardo  Max Verstappen,All All
Renault Sport Formula One Team,Renault,R.S.18,Renault R.E.18,27 55,Nico Hülkenberg  Carlos Sainz Jr.,All All
Alfa Romeo Sauber F1 Team,Sauber-Ferrari,C37,Ferrari 062 EVO,9 16,Marcus Ericsson  Charles Leclerc,All All
Red Bull Toro Rosso Honda,Scuderia Toro Rosso-Honda,STR13,Honda RA618H,10 28,Pierre Gasly  Brendon Hartley,All All
Williams Martini Racing,Williams-Mercedes,FW41,Mercedes M09 EQ Power+,18 35,Lance Stroll  Sergey Sirotkin,All All
Sources:[10][11][12],Sources:[10][11][12],Sources:[10][11][12],Sources:[10][11][12],Sources:[10][11][12],Sources:[10][11][12],Sources:[10][11][12]
