vteWorld championships in 2018,vteWorld championships in 2018.1
Summer sports & indoor sports,Archery field indoor Association football (men) Athletics (indoor) Badminton individual team Basketball women Basketball (3x3) Beach handball men women Bowls Boxing (women) Canoeing slalom sprint marathon Cycling road track mountain bike cyclo-cross BMX Equestrian Fencing Field hockey men women Finswimming Floorball (men) Gymnastics artistic rhythmic trampoline acrobatic aerobic Judo Karate Lacrosse (men) Modern pentathlon Muaythai Nine-pin bowling Orienteering Quidditch Racquetball Real tennis Rowing Rugby sevens men women Rugby union wheelchair Sailing Sambo Shooting Softball (women) Sport climbing Squash women's team Swimming (25 m) Table tennis men women team Volleyball men women Weightlifting Wrestling
Winter sports,Bandy men women Curling men women mixed mixed doubles Figure skating Ice hockey men women Ski flying Speed skating allround sprint short track
Cue & mind sports,Chess men women's match women rapid blitz Darts BDO PDC Draughts men's match women's match Pool Nine-ball Snooker six-red
Motor sports,Air race Endurance auto racing 2018–19 Endurance motorcycle racing 2017–18 2018–19 F1 Powerboat Formula One Motocross men women team MotoGP Moto2 Moto3 Rally Rallycross Speedway individual team Sidecarcross Superbike Supersport Supersport 300 Touring car
