Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Alfa Romeo F1 Team ORLEN,Alfa Romeo-Ferrari,C42[14],Ferrari 066/7,24 77,Zhou Guanyu  Valtteri Bottas,All All
Scuderia AlphaTauri,AlphaTauri-RBPT,AT03[15],Red Bull RBPTH001[15],10 22,Pierre Gasly  Yuki Tsunoda,All All
BWT Alpine F1 Team[16],Alpine-Renault,A522[17],Renault E-Tech RE22[18],14 31,Fernando Alonso  Esteban Ocon,All All
Aston Martin Aramco Cognizant F1 Team[19],Aston Martin Aramco-Mercedes,AMR22[20],Mercedes-AMG F1 M13,27 5 18,Nico Hülkenberg  Sebastian Vettel  Lance Stroll,1–2 3–22 All
Scuderia Ferrari,Ferrari,F1-75[21],Ferrari 066/7[21],16 55,Charles Leclerc  Carlos Sainz Jr.,All All
Haas F1 Team,Haas-Ferrari,VF-22[22],Ferrari 066/7[22],20 47,Kevin Magnussen  Mick Schumacher,All All[a]
McLaren F1 Team,McLaren-Mercedes,MCL36[24],Mercedes-AMG F1 M13[24],3 4,Daniel Ricciardo  Lando Norris,All All
Mercedes-AMG Petronas F1 Team,Mercedes,F1 W13[25],Mercedes-AMG F1 M13,44 63,Lewis Hamilton  George Russell,All All
Oracle Red Bull Racing[26],Red Bull Racing-RBPT,RB18[27],Red Bull RBPTH001[28][29],1 11,Max Verstappen  Sergio Pérez,All All
Williams Racing,Williams-Mercedes,FW44[30],Mercedes-AMG F1 M13[31],6 23 45,Nicholas Latifi  Alexander Albon  Nyck de Vries,All All[b] 16
Sources:[33][34],Sources:[33][34],Sources:[33][34],Sources:[33][34],Sources:[33][34],Sources:[33][34],Sources:[33][34]
