vteWorld championships in 2022,vteWorld championships in 2022.1
Summer sports & indoor sports,American football (women) Aquatics artistic swimming diving open water swimming swimming water polo Armwrestling Association football (men) Athletics half marathon indoor outdoor mountain and trail running Badminton individual team Basketball women 3x3 Basque pelota Beach handball men women Beach volleyball Bowling (9-pin) Bowls indoor WBT indoor WB/IIBC Boxing (women) Canoeing marathon slalom sprint Cricket men (T20) women Cycling road track mountain bike marathon BMX cyclo-cross urban gravel esports Equestrian Fencing Field hockey (women) Finswimming Floorball (men) Futsal (AMF wommen) Gymnastics artistic rhythmic trampoline acrobatic aerobic aesthetic parkour Indoor hockey men women Judo Lacrosse (women) Modern pentathlon Orienteering Racquetball Real tennis men women Rowing Rugby league men women wheelchair PDRL Rugby sevens men women Rugby union women wheelchair Sitting volleyball Men Women Shooting rifle / pistol running target shotgun Softball (men) Squash men women Women's team Surfing shortboard SUP/paddleboard Swimming (25m) Table tennis Volleyball men women Taekwondo Weightlifting Wrestling
Winter sports,Bandy men women Curling men women mixed doubles mixed Figure skating Ice climbing Ice hockey men women Luge Ski flying Ski orienteering Short track speed skating inline Sled dog racing on-snow Speed skating allround sprint Winter triathlon
Cue & mind sports,Bridge teams Carom billiards individual team Chess Fischer Random Darts PDC WDF Draughts men Pool nine-ball ten-ball Snooker open women
Motor sports,Electric touring car Endurance auto racing Endurance moto racing Formula E Formula One Motocross men women team MotoGP Moto2 Moto3 MotoE Powerboat Rally Rallycross Rally raid FIA Bajas FIM Bajas Sidecarcross Speedway individual team Superbike Supersport Supersport 300 Supercross Touring car
Parasports,Sitting volleyball men women
