0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5,McLaren-Mercedes,14,7,5,35,13,8,6F,8,11,6,7,7,7,12,7,7,4,10,6,7,Ret7,6F,159
5,McLaren-Mercedes,15,Ret,6,186,Ret,12,13,9,15,13,9,9,15,15,17,Ret,5,11,16,9,Ret,9,159
6,Alfa Romeo-Ferrari,6,11,8,57,7,6,9,11,7,Ret,11,14,13,14,16,10,11,15,12,10,9,12,55
6,Alfa Romeo-Ferrari,10,Ret,11,15,Ret,Ret,16,Ret,8,Ret,14,16†,20†,Ret,Ret,13,Ret,16F,Ret,13,12,15,55
7,Aston Martin Aramco-Mercedes,12,12,12,8,10,11,10,6,10,9,13,10,10,8,10,Ret,6,6,8,14,10,8,55
7,Aston Martin Aramco-Mercedes,17,13,Ret,10,17†,15,14,16†,12,11,17,11,11,11,14,Ret,8,12,Ret,15,11,10,55
8,Haas-Ferrari,5,9,13,98,15,14,Ret,14,17,8,6,15,14,16,13,12,12,14,9,16,13,16,37
8,Haas-Ferrari,11,WD,14,17,16†,17,Ret,Ret,Ret,10,87,Ret,16,17,15,16,13,17,15,17,RetP 8,17,37
9,AlphaTauri-RBPT,8,8,9,7,12,10,11,5,14,14,15,12,12,9,11,8,10,13,10,11,14,11,35
9,AlphaTauri-RBPT,Ret,DNS,15,12,Ret,13,17,13,Ret,Ret,16,Ret,19,13,Ret,14,Ret,18,14,Ret,17,14,35
10,Williams-Mercedes,13,14†,10,11,9,16,15,12,13,12,12,13,17,10,12,9,Ret,9,13,12,15,13,8
10,Williams-Mercedes,16,Ret,16,16,14,18,Ret,15,16,Ret,Ret,Ret,18,18,18,15,Ret,Ret,17,18,16,19†,8
Pos.,Constructor,BHR,SAU,AUS,EMI,MIA,ESP,MON,AZE,CAN,GBR,AUT,FRA,HUN,BEL,NED,ITA,SIN,JPN,USA,MXC,SAP,ABU,Points
Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229],Source:[229]
Key,Key,,,,,,,,,,,,,,,,,,,,,,,
Colour,Result,,,,,,,,,,,,,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,,,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,,,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,,,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,,,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,,,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,,,,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,,,,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,,,,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,,,,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,,,,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,,,,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,,,,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,,,,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,,,,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,,,,,,,,,,,,,
P,Pole position,,,,,,,,,,,,,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,,,,,,,,,,,,,
Superscript number,Points-scoring position in sprint,,,,,,,,,,,,,,,,,,,,,,,
