vteWorld championships in 2015,vteWorld championships in 2015.1
Summer sports & indoor sports,American football Aquatics Archery Association football (women) Athletics cross country Badminton Beach soccer Beach volleyball Boxing (amateur) Bowls Canoeing sprint slalom Cricket Cycling road track BMX mountain bike Fencing Fistball Floorball (women) Futsal AMF men women Gymnastics artistic rhythmic trampoline Handball men women Judo Korfball Minifootball Modern pentathlon Netball Orienteering Rowing Rugby union Squash men women men's team Table tennis Taekwondo Weightlifting Wrestling Wushu
Winter sports,Alpine skiing Bandy (men) Biathlon Bobsleigh / Skeleton Curling men women mixed mixed doubles wheelchair Figure skating Freestyle skiing / Snowboarding Ice hockey men women Luge Nordic skiing Speed skating allround sprint single distance short track
Cue & mind sports,Chess women rapid blitz Darts BDO PDC Draughts men match men women match women Pool Nine-ball Ten-ball Snooker six-red
Motor sports,Air race Endurance Formula One F1 Powerboat Motocross MotoGP Moto2 Moto3 Motorcycle cross-country rally Radio-controlled 1:10 off-road Rally Rallycross Sidecarcross Speedway individual team Superbike Supersport Touring car
