Pos.,Driver,ARG,MON,500,BEL,FRA,GBR,GER,ITA,Pts.
1,Juan Manuel Fangio,1† / RetPF,2† / 4†PF,,RetP,4PF,1,1PF,(2† / 8†P),30 (33)
2,Stirling Moss,Ret,1,,3† / RetF,5† / Ret,(RetPF),2,1F,27 (28)
3,Peter Collins,Ret,2†,,1,1,2† / Ret,Ret† / Ret,2†,25
4,Jean Behra,2,3,,7,3,3,3,Ret† / Ret,22
5,Pat Flaherty,,,1P,,,,,,8
6,Eugenio Castellotti,Ret,4† / Ret,,Ret,2,10†,Ret† / Ret,8† / Ret,7.5
7,Sam Hanks,,,2,,,,,,6
=,Paul Frère,,,,2,,,,,6
9,Paco Godia,,,,Ret,7,8,4,4,6
10,Jack Fairman,,,,,,4,,5,5
11,Luigi Musso,1†,Ret,,,,,Ret†,Ret,4
=,Mike Hawthorn,3,DNS,,DNS,10†,Ret,,,4
=,Ron Flockhart,,,,,,Ret,,3,4
=,Don Freeland,,,3,,,,,,4
15,Alfonso de Portago,,,,,Ret,2† / 10†,Ret†,Ret,3
=,Cesare Perdisa,,7,,3†,5†,7,DNS,,3
=,Harry Schell,,Ret,,4,10† / Ret,Ret,Ret,Ret,3
=,Johnnie Parsons,,,4,,,,,,3
19,Louis Rosier,,Ret,,8,6,Ret,5,,2
=,Luigi Villoresi,,,,5,Ret,6,Ret,Ret†,2
=,Hermano da Silva Ramos,,5,,,8,Ret,,Ret,2
=,Horace Gould,,8,,Ret,,5,Ret,,2
=,Olivier Gendebien,5,,,,Ret,,,,2
=,Dick Rathmann,,,5,,,,,,2
25,Gerino Gerini,4†,,,,,,,10,1.5
=,Chico Landi,4†,,,,,,,,1.5
27,Paul Russo,,,RetF,,,,,,1
—,André Pilette,,6†,,6,11,,DNS,,0
—,Luigi Piotti,Ret,,,,,,DNS,6,0
—,Bob Sweikert,,,6,,,,,,0
—,Óscar González,6†,,,,,,,,0
—,Alberto Uría,6†,,,,,,,,0
—,Élie Bayol,,6†,,,,,,,0
—,Bob Veith,,,7,,,,,,0
—,Toulo de Graffenried,,,,,,,,7,0
—,Rodger Ward,,,8,,,,,,0
—,Robert Manzon,,Ret,,,9,9,Ret,Ret,0
—,André Simon,,,,,Ret,,,9,0
—,Jimmy Reece,,,9,,,,,,0
—,Cliff Griffith,,,10,,,,,,0
—,Roy Salvadori,,,,,,Ret,Ret,11,0
—,Gene Hartley,,,11,,,,,,0
—,Bob Gerard,,,,,,11,,,0
—,Fred Agabashian,,,12,,,,,,0
—,Bob Christie,,,13,,,,,,0
—,Al Keller,,,14,,,,,,0
—,Eddie Johnson,,,15,,,,,,0
—,Billy Garrett,,,16,,,,,,0
—,Duke Dinsmore,,,17,,,,,,0
—,Pat O'Connor,,,18,,,,,,0
—,Jimmy Bryan,,,19,,,,,,0
—,Ottorino Volonterio,,,,,,,NC,,0
—,Maurice Trintignant,,Ret,,Ret,Ret,Ret,,Ret,0
—,Umberto Maglioli,,,,,,Ret,Ret,Ret†,0
—,Bruce Halford,,,,,,Ret,DSQ,Ret,0
—,José Froilán González,Ret,,,,,Ret,,,0
—,Piero Taruffi,,,,,Ret,,,Ret,0
—,Tony Brooks,,DNS,,,,Ret,,,0
—,Giorgio Scarlatti,,DNQ,,,,,Ret,,0
—,Carlos Menditeguy,Ret,,,,,,,,0
—,Jim Rathmann,,,Ret,,,,,,0
—,Johnnie Tolan,,,Ret,,,,,,0
—,Tony Bettenhausen,,,Ret,,,,,,0
—,Jimmy Daywalt,,,Ret,,,,,,0
—,Jack Turner,,,Ret,,,,,,0
—,Keith Andrews,,,Ret,,,,,,0
—,Andy Linden,,,Ret,,,,,,0
—,Al Herman,,,Ret,,,,,,0
—,Ray Crawford,,,Ret,,,,,,0
—,Johnny Boyd,,,Ret,,,,,,0
—,Troy Ruttman,,,Ret,,,,,,0
—,Johnny Thomson,,,Ret,,,,,,0
—,Piero Scotti,,,,Ret,,,,,0
—,Desmond Titterington,,,,,,Ret,,,0
—,Archie Scott Brown,,,,,,Ret,,,0
—,Paul Emery,,,,,,Ret,,,0
—,Jack Brabham,,,,,,Ret,,,0
—,André Milhoux,,,,,,,Ret,,0
—,Les Leston,,,,,,,,Ret,0
—,Ed Elisian,,,Ret†,,,,,,0
—,Eddie Russo,,,Ret†,,,,,,0
—,Jo Bonnier,,,,,,,,Ret†,0
—,Louis Chiron,,DNS,,,,,,,0
—,Colin Chapman,,,,,DNS,,,,0
—,Wolfgang von Trips,,,,,,,,DNS,0
Pos.,Driver,ARG,MON,500,BEL,FRA,GBR,GER,ITA,Pts.
