Year,Driver,Constructor,Location,Report
1985,Michele Alboreto,Ferrari,Nürburgring GP-Strecke,Report
1986,Nelson Piquet,Williams-Honda,Hockenheimring,Report
1987,Nelson Piquet,Williams-Honda,Hockenheimring,Report
