vteWorld championships in 2024,vteWorld championships in 2024.1
Summer sports and indoor sports,Athletics indoor cross country race walking relay Aquatics artistic swimming diving high diving open water swimming swimming swimming (25 m) water polo Archery 3D field Badminton (team) Baseball men's 12 women Beach handball men women Beach soccer (men) Bowls indoor WBT indoor WB/IIBC Ninepin Box lacrosse men women Canoe marathon sprint Cricket T20 men T20 women Cycling BMX cyclo-cross gravel mountain bike MTB marathon road track urban Finswimming Flag football men women Floorball (men) Futsal (men) Gymnastics aerobic acrobatic aesthetic group Hockey5s men women Judo Modern pentathlon Orienteering Parkour Racquetball Real tennis (doubles) Rowing Socca Softball (women) Squash men women Surfing Table tennis (team) Weightlifting Wrestling
Winter sports,Biathlon summer Bobsleigh / Skeleton Curling men women mixed mixed doubles Figure skating Ice hockey men women Luge Roller hockey Ski flying Speed skating allround single distances sprint short track inline
Cue and mind sports,Chess Darts PDC WDF Draughts men women Snooker men women
Motor sports,Endurance auto racing Endurance moto racing Enduro Formula E Formula One Motocross men women supercross team MotoGP Moto2 Moto3 MotoE Powerboat Rally Rallycross Rally raid FIA Bajas FIM Bajas Sidecarcross Speedway individual team longtrack Superbike Supersport Supersport 300 Women
Para sports,Para-athletics Para-cycling road track Paratriathlon Para ice hockey men women Wheelchair curling mixed doubles mixed team Wheelchair handball
