vte« previous Formula One Grands Prix (1970–1979) next »,vte« previous Formula One Grands Prix (1970–1979) next ».1
1970,RSA ESP MON BEL NED FRA GBR GER AUT ITA CAN USA MEX
1971,RSA ESP MON NED FRA GBR GER AUT ITA CAN USA
1972,ARG RSA ESP MON BEL FRA GBR GER AUT ITA CAN USA
1973,ARG BRA RSA ESP BEL MON SWE FRA GBR NED GER AUT ITA CAN USA
1974,ARG BRA RSA ESP BEL MON SWE NED FRA GBR GER AUT ITA CAN USA
1975,ARG BRA RSA ESP MON BEL SWE NED FRA GBR GER AUT ITA USA
1976,BRA RSA USW ESP BEL MON SWE FRA GBR GER AUT NED ITA CAN USA JPN
1977,ARG BRA RSA USW ESP MON BEL SWE FRA GBR GER AUT NED ITA USA CAN JPN
1978,ARG BRA RSA USW MON BEL ESP SWE FRA GBR GER AUT NED ITA USA CAN
1979,ARG BRA RSA USW ESP BEL MON FRA GBR GER AUT NED ITA CAN USA
