Pos.,Driver,SUI,500,BEL,FRA,GBR,GER,ITA,ESP,Pts.
1,Juan Manuel Fangio,1PF,,(9PF),(1F)†/11P†,2,2F,RetP,1F,31 (37)
2,Alberto Ascari,6,,2,2†/ Ret,Ret,1P,1,(4P),25 (28)
3,José Froilán González,Ret,,,(2)†,1P,3,2,2,24 (27)
4,Giuseppe Farina,3,,1,(5),(RetF),Ret,3F†/ Ret,3,19 (22)
5,Luigi Villoresi,Ret,,3,3,3,4,(4),Ret,15 (18)
6,Piero Taruffi,2,,Ret,,,5,5,Ret,10
7,Lee Wallard,,1F,,,,,,,9
8,Felice Bonetto,,,,,4,Ret,3†,5,7
9,Mike Nazaruk,,2,,,,,,,6
10,Reg Parnell,,,,4,5,,DNS,,5
11,Luigi Fagioli,,,,1† / 11†,,,,,4
12,Consalvo Sanesi,4,,Ret,10,6,,,,3
13,Louis Rosier,9,,4,Ret,10,8,7,7,3
14,Andy Linden,,4,,,,,,,3
15,Manny Ayulo,,3†,,,,,,,2
16,Jack McGrath,,3†,,,,,,,2
17,Toulo de Graffenried,5,,,Ret,,Ret,Ret,6,2
18,Yves Giraud-Cabantous,Ret,,5,7,,Ret,8,Ret,2
19,Bobby Ball,,5,,,,,,,2
—,Louis Chiron,7,,Ret,6,Ret,Ret,Ret,Ret,0
—,Rudi Fischer,11,,,,,6,DNS,,0
—,André Simon,,,,Ret,,Ret,6,Ret,0
—,Henry Banks,,6,,,,,,,0
—,André Pilette,,,6,,,,,,0
—,Robert Manzon,,,,Ret,,7,Ret,9,0
—,Johnny Claes,13,,7,Ret,13,11,Ret,Ret,0
—,Carl Forberg,,7,,,,,,,0
—,Peter Walker,,,,,7,,,,0
—,Pierre Levegh,,,8,,,9,Ret,,0
—,Philippe Étancelin,10,,Ret,Ret,,Ret,,8,0
—,Stirling Moss,8,,,,,,,,0
—,Duane Carter,,8,,,,,,,0
—,Eugène Chaboud,,,,8,,,,,0
—,Brian Shawe-Taylor,,,,,8,,,,0
—,Guy Mairesse,14,,,9,,,,,0
—,Peter Whitehead,Ret,,,Ret,9,,Ret,,0
—,Franco Rol,,,,,,,9,,0
—,Jacques Swaters,,,,,,10,Ret,,0
—,Paco Godia,,,,,,,,10,0
—,Bob Gerard,,,,,11,,,,0
—,Harry Schell,12,,,Ret,,,,,0
—,Duncan Hamilton,,,,,12,Ret,,,0
—,Joe Kelly,,,,,NC,,,,0
—,Maurice Trintignant,,,,Ret,,Ret,DNS,Ret,0
—,Henri Louveau,Ret,,,,,,,,0
—,George Abecassis,Ret,,,,,,,,0
—,Peter Hirt,Ret,,,,,,,,0
—,Tony Bettenhausen,,Ret,,,,,,,0
—,Duke Nalon,,RetP,,,,,,,0
—,Gene Force,,Ret,,,,,,,0
—,Sam Hanks,,Ret,,,,,,,0
—,Bill Schindler,,Ret,,,,,,,0
—,Mauri Rose,,Ret,,,,,,,0
—,Walt Faulkner,,Ret,,,,,,,0
—,Jimmy Davies,,Ret,,,,,,,0
—,Fred Agabashian,,Ret,,,,,,,0
—,Carl Scarborough,,Ret,,,,,,,0
—,Bill Mackey,,Ret,,,,,,,0
—,Chuck Stevenson,,Ret,,,,,,,0
—,Johnnie Parsons,,Ret,,,,,,,0
—,Cecil Green,,Ret,,,,,,,0
—,Troy Ruttman,,Ret,,,,,,,0
—,Duke Dinsmore,,Ret,,,,,,,0
—,Chet Miller,,Ret,,,,,,,0
—,Walt Brown,,Ret,,,,,,,0
—,Rodger Ward,,Ret,,,,,,,0
—,Cliff Griffith,,Ret,,,,,,,0
—,Bill Vukovich,,Ret,,,,,,,0
—,George Connor,,Ret,,,,,,,0
—,Mack Hellings,,Ret,,,,,,,0
—,Joe James,,Ret,,,,,,,0
—,Johnny McDowell,,Ret,,,,,,,0
—,Aldo Gordini,,,,Ret,,,,,0
—,Onofre Marimón,,,,Ret,,,,,0
—,Philip Fotheringham-Parker,,,,,Ret,,,,0
—,David Murray,,,,,Ret,,,,0
—,John James,,,,,Ret,,,,0
—,Paul Pietsch,,,,,,Ret,,,0
—,Toni Branca,,,,,,Ret,,,0
—,Jean Behra,,,,,,,Ret,,0
—,Chico Landi,,,,,,,Ret,,0
—,Georges Grignard,,,,,,,,Ret,0
—,Birabongse Bhanudej,,,,,,,,Ret,0
—,Ken Richardson,,,,,,,DNS,,0
—,Juan Jover,,,,,,,,DNS,0
Pos.,Driver,SUI,500,BEL,FRA,GBR,GER,ITA,ESP,Pts.
