Entrant,Constructor,Chassis,Engine,No.,Race Drivers,Rounds
Red Bull Racing Renault,Red Bull Racing-Renault,RB7,Renault RS27-2011,1,Sebastian Vettel[6],All
Red Bull Racing Renault,Red Bull Racing-Renault,RB7,Renault RS27-2011,2,Mark Webber[7],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-26,Mercedes FO 108Y,3,Lewis Hamilton[8],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-26,Mercedes FO 108Y,4,Jenson Button[9],All
Scuderia Ferrari[a],Ferrari,150º Italia[11],Ferrari 056,5,Fernando Alonso[12],All
Scuderia Ferrari[a],Ferrari,150º Italia[11],Ferrari 056,6,Felipe Massa[13],All
Mercedes GP Petronas F1 Team,Mercedes,MGP W02,Mercedes FO 108Y,7,Michael Schumacher[14],All
Mercedes GP Petronas F1 Team,Mercedes,MGP W02,Mercedes FO 108Y,8,Nico Rosberg[15],All
Lotus Renault GP[16][b],Renault[18],R31,Renault RS27-2011,9,Nick Heidfeld[19],1–11
Lotus Renault GP[16][b],Renault[18],R31,Renault RS27-2011,9,Bruno Senna[20],12–19
Lotus Renault GP[16][b],Renault[18],R31,Renault RS27-2011,10,Vitaly Petrov[21],All
AT&T Williams,Williams-Cosworth,FW33,Cosworth CA2011K,11,Rubens Barrichello[22],All
AT&T Williams,Williams-Cosworth,FW33,Cosworth CA2011K,12,Pastor Maldonado[23],All
Force India F1 Team[c],Force India-Mercedes,VJM04,Mercedes FO 108Y,14,Adrian Sutil[24],All
Force India F1 Team[c],Force India-Mercedes,VJM04,Mercedes FO 108Y,15,Paul di Resta[24],All
Sauber F1 Team[25],Sauber-Ferrari,C30,Ferrari 056,16,Kamui Kobayashi[26],All
Sauber F1 Team[25],Sauber-Ferrari,C30,Ferrari 056,17,Sergio Pérez[27],All[d]
Sauber F1 Team[25],Sauber-Ferrari,C30,Ferrari 056,17,Pedro de la Rosa[28],7
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR6,Ferrari 056,18,Sébastien Buemi[29],All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR6,Ferrari 056,19,Jaime Alguersuari[29],All
Team Lotus[30],Lotus-Renault,T128,Renault RS27-2011[31],20,Heikki Kovalainen[32],All
Team Lotus[30],Lotus-Renault,T128,Renault RS27-2011[31],21,Jarno Trulli[32],"1–9, 11–19"
Team Lotus[30],Lotus-Renault,T128,Renault RS27-2011[31],21,Karun Chandhok[33],10
HRT Formula 1 Team[e],HRT-Cosworth,F111,Cosworth CA2011,22,Narain Karthikeyan[34],"1–8, 17"
HRT Formula 1 Team[e],HRT-Cosworth,F111,Cosworth CA2011,22,Daniel Ricciardo[35],"9–16, 18–19"
HRT Formula 1 Team[e],HRT-Cosworth,F111,Cosworth CA2011,23,Daniel Ricciardo[35],17[36]
HRT Formula 1 Team[e],HRT-Cosworth,F111,Cosworth CA2011,23,Vitantonio Liuzzi[37],"1–16, 18–19"
Marussia Virgin Racing[38],Virgin-Cosworth,MVR-02,Cosworth CA2011,24,Timo Glock[39],All
Marussia Virgin Racing[38],Virgin-Cosworth,MVR-02,Cosworth CA2011,25,Jérôme d'Ambrosio[40],All
