Entrant,Constructor,Chassis,Engine,No,Driver,Rounds
Mild Seven Benetton Renault,Benetton-Renault,B195,Renault RS7 3.0 V10,1,Michael Schumacher,All
Mild Seven Benetton Renault,Benetton-Renault,B195,Renault RS7 3.0 V10,2,Johnny Herbert,All
Nokia Tyrrell Yamaha,Tyrrell-Yamaha,023,Yamaha OX10C 3.0 V10,3,Ukyo Katayama,"1–13, 15–17"
Nokia Tyrrell Yamaha,Tyrrell-Yamaha,023,Yamaha OX10C 3.0 V10,3,Gabriele Tarquini,14
Nokia Tyrrell Yamaha,Tyrrell-Yamaha,023,Yamaha OX10C 3.0 V10,4,Mika Salo,All
Rothmans Williams Renault,Williams-Renault,FW17 FW17B,Renault RS7 3.0 V10,5,Damon Hill,All
Rothmans Williams Renault,Williams-Renault,FW17 FW17B,Renault RS7 3.0 V10,6,David Coulthard,All
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/10 MP4/10B MP4/10C,Mercedes FO 110 3.0 V10,7,Mark Blundell,"1–2, 5–17"
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/10 MP4/10B MP4/10C,Mercedes FO 110 3.0 V10,7,Nigel Mansell,3–4
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/10 MP4/10B MP4/10C,Mercedes FO 110 3.0 V10,8,Mika Häkkinen,"1–14, 16–17"
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/10 MP4/10B MP4/10C,Mercedes FO 110 3.0 V10,8,Jan Magnussen,15
Footwork Hart,Footwork-Hart,FA16,Hart 830 3.0 V8,9,Gianni Morbidelli,"1–7, 15–17"
Footwork Hart,Footwork-Hart,FA16,Hart 830 3.0 V8,9,Massimiliano Papis,8–14
Footwork Hart,Footwork-Hart,FA16,Hart 830 3.0 V8,10,Taki Inoue,All
MTV Simtek Ford[a],Simtek-Ford,S951,Ford-Cosworth EDB1 3.0 V8,11,Domenico Schiattarella,1–5
MTV Simtek Ford[a],Simtek-Ford,S951,Ford-Cosworth EDB1 3.0 V8,12,Jos Verstappen,1–5
Total Jordan Peugeot,Jordan-Peugeot,195,Peugeot A10 3.0 V10,14,Rubens Barrichello,All
Total Jordan Peugeot,Jordan-Peugeot,195,Peugeot A10 3.0 V10,15,Eddie Irvine,All
Pacific Team Lotus,Pacific-Ford,PR02,Ford-Cosworth EDC1 3.0 V8,16,Bertrand Gachot,"1–8, 15–17"
Pacific Team Lotus,Pacific-Ford,PR02,Ford-Cosworth EDC1 3.0 V8,16,Giovanni Lavaggi,9–12
Pacific Team Lotus,Pacific-Ford,PR02,Ford-Cosworth EDC1 3.0 V8,16,Jean-Denis Delétraz,13–14
Pacific Team Lotus,Pacific-Ford,PR02,Ford-Cosworth EDC1 3.0 V8,17,Andrea Montermini,All
Parmalat Forti Ford,Forti-Ford,FG01,Ford-Cosworth EDD1 3.0 V8,21,Pedro Diniz,All
Parmalat Forti Ford,Forti-Ford,FG01,Ford-Cosworth EDD1 3.0 V8,22,Roberto Moreno,All
Minardi Scuderia Italia,Minardi-Ford,M195,Ford-Cosworth EDM1 3.0 V8,23,Pierluigi Martini,1–9
Minardi Scuderia Italia,Minardi-Ford,M195,Ford-Cosworth EDM1 3.0 V8,23,Pedro Lamy,10–17
Minardi Scuderia Italia,Minardi-Ford,M195,Ford-Cosworth EDM1 3.0 V8,24,Luca Badoer,All
Ligier Gitanes Blondes,Ligier-Mugen-Honda,JS41,Mugen-Honda MF-301 3.0 V10,25,Aguri Suzuki,"1–3, 9, 15–16"
Ligier Gitanes Blondes,Ligier-Mugen-Honda,JS41,Mugen-Honda MF-301 3.0 V10,25,Martin Brundle,"4–8, 10–14, 17"
Ligier Gitanes Blondes,Ligier-Mugen-Honda,JS41,Mugen-Honda MF-301 3.0 V10,26,Olivier Panis,All
Scuderia Ferrari,Ferrari,412T2,Ferrari Tipo 044/1 3.0 V12,27,Jean Alesi,All
Scuderia Ferrari,Ferrari,412T2,Ferrari Tipo 044/1 3.0 V12,28,Gerhard Berger,All
Red Bull Sauber Ford,Sauber-Ford,C14,Ford ECA Zetec-R 3.0 V8,29,Karl Wendlinger,"1–4, 16–17"
Red Bull Sauber Ford,Sauber-Ford,C14,Ford ECA Zetec-R 3.0 V8,29,Jean-Christophe Boullion,5–15
Red Bull Sauber Ford,Sauber-Ford,C14,Ford ECA Zetec-R 3.0 V8,30,Heinz-Harald Frentzen,All
Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed]
