0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver BRA ARG SMR ESP MON CAN FRA GBR GER HUN BEL ITA POR EUR PAC JPN AUS Points 1  Michael Schumacher 1F 3F RetP 1P 1 5PF 1F Ret 1F 11† 1 Ret 2 1F 1F 1PF Ret 102 2  Damon Hill RetP 1 1 4F 2P Ret 2P RetPF RetP 1PF 2 Ret 3 Ret 3 Ret 1PF 69 3  David Coulthard 2 RetP 4 Ret Ret Ret 3 3 2 2 RetF RetP 1PF 3P 2P Ret Ret 49 4  Johnny Herbert Ret 4 7 2 4 Ret Ret 1 4 4 7 1 7 5 6 3 Ret 45 5  Jean Alesi 5 2 2 Ret RetF 1 5 2 Ret Ret Ret Ret 5 2 5 Ret Ret 42 6  Gerhard Berger 3 6 3F 3 3 11† 12 Ret 3 3 RetP RetF 4 Ret 4 Ret Ret 31 7  Mika Häkkinen 4 Ret 5 Ret Ret Ret 7 Ret Ret Ret Ret 2 Ret 8 2 DNS 17 8  Olivier Panis Ret 7 9 6 Ret 4 8 4 Ret 6 9 Ret Ret Ret 8 5 2 16 9  Heinz-Harald Frentzen Ret 5 6 8 6 Ret 10 6 Ret 5 4 3 6 Ret 7 8 Ret 15 10  Mark Blundell 6 Ret 5 Ret 11 5 Ret Ret 5 4 9 Ret 9 7 4 13 11  Rubens Barrichello Ret Ret Ret 7 Ret 2 6 11† Ret 7 6 Ret 11 4 Ret Ret Ret 11 12  Eddie Irvine Ret Ret 8 5 Ret 3 9 Ret 9† 13† Ret Ret 10 6 11 4 Ret 10 13  Martin Brundle 9 Ret 10† 4 Ret Ret 3 Ret 8 7 Ret 7 14  Gianni Morbidelli Ret Ret 13 11 9 6 14 Ret Ret 3 5 15  Mika Salo 7 Ret Ret 10 Ret 7 15 8 Ret Ret 8 5 13 10 12 6 5 5 16  Jean-Christophe Boullion 8† Ret Ret 9 5 10 11 6 12 Ret Ret 3 17  Aguri Suzuki 8 Ret 11 6 Ret DNS 1 18  Pedro Lamy 9 10 Ret Ret 9 13 11 6 1 19  Pierluigi Martini DNS Ret 12 14 7 Ret Ret 7 Ret 0 20  Ukyo Katayama Ret 8 Ret Ret Ret Ret Ret Ret 7 Ret Ret 10 Ret 14 Ret Ret 0 21  Pedro Diniz 10 NC NC Ret 10 Ret Ret Ret Ret Ret 13 9 16 13 17 Ret 7 0 22  Massimiliano Papis Ret Ret Ret Ret 7 Ret 12 0 23  Luca Badoer Ret DNS 14 Ret Ret 8 13 10 Ret 8 Ret Ret 14 11 15 9 DNS 0 24  Taki Inoue Ret Ret Ret Ret Ret 9 Ret Ret Ret Ret 12 8 15 Ret Ret 12 Ret 0 25  Andrea Montermini 9 Ret Ret DNS DSQ Ret NC Ret 8 12 Ret DNS Ret Ret Ret Ret Ret 0 26  Bertrand Gachot Ret Ret Ret Ret Ret Ret Ret 12 Ret Ret 8 0 27  Domenico Schiattarella Ret 9 Ret 15 DNS 0 28  Karl Wendlinger Ret Ret Ret 13 10 Ret 0 29  Nigel Mansell 10 Ret 0 30  Jan Magnussen 10 0 31  Jos Verstappen Ret Ret Ret 12 DNS 0 32  Roberto Moreno Ret NC NC Ret Ret Ret 16 Ret Ret Ret 14 DNS 17 Ret 16 Ret Ret 0 33  Gabriele Tarquini 14 0 34  Jean-Denis Delétraz Ret 15 0 —  Giovanni Lavaggi Ret Ret Ret Ret 0 Pos. Driver BRA ARG SMR ESP MON CAN FRA GBR GER HUN BEL ITA POR EUR PAC JPN AUS Points Source:[78],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,PAC,JPN,AUS,Points
1,Michael Schumacher,1F,3F,RetP,1P,1,5PF,1F,Ret,1F,11†,1,Ret,2,1F,1F,1PF,Ret,102
2,Damon Hill,RetP,1,1,4F,2P,Ret,2P,RetPF,RetP,1PF,2,Ret,3,Ret,3,Ret,1PF,69
3,David Coulthard,2,RetP,4,Ret,Ret,Ret,3,3,2,2,RetF,RetP,1PF,3P,2P,Ret,Ret,49
4,Johnny Herbert,Ret,4,7,2,4,Ret,Ret,1,4,4,7,1,7,5,6,3,Ret,45
5,Jean Alesi,5,2,2,Ret,RetF,1,5,2,Ret,Ret,Ret,Ret,5,2,5,Ret,Ret,42
6,Gerhard Berger,3,6,3F,3,3,11†,12,Ret,3,3,RetP,RetF,4,Ret,4,Ret,Ret,31
7,Mika Häkkinen,4,Ret,5,Ret,Ret,Ret,7,Ret,Ret,Ret,Ret,2,Ret,8,,2,DNS,17
8,Olivier Panis,Ret,7,9,6,Ret,4,8,4,Ret,6,9,Ret,Ret,Ret,8,5,2,16
