0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Pos. Constructor No. BHR MAL AUS SMR EUR ESP MON GBR CAN USA FRA GER HUN TUR ITA CHN JPN BRA Points 1  Renault 1 1 2F 1 2F 2P 1P 1P 1PF 1P 5 2 5 Ret 2 Ret 2PF 1F 2 206 2 Ret 1P 5 8 6 3 6 4 4 3 6 6 Ret 6 4 3 3 6 2  Ferrari 5 2P 6 Ret 1P 1F 2 5F 2 2 1PF 1PF 1F 8† 3F 1 1 Ret 4F 201 6 9 5 Ret 4 3 4F 9 5 5 2 3 2 7F 1P 9 Ret 2P 1P 3  McLaren-Mercedes 3 3 Ret 2F 5 4 5 Ret 3 3F Ret 5 3P RetP Ret 2PF Ret 5 5 110 4 5 4 Ret 3 Ret Ret 2 6 Ret Ret 7 Ret 2 5 Ret 5 11 8 4  Honda 11 15 10 7 10 5 7 4 10 Ret 6 Ret Ret 4 8 6 6 12 7 86 12 4 3 10P† 7 Ret 6 11 Ret 9 Ret Ret 4 1 4 5 4 4 3 5  BMW Sauber 16 12 Ret 4 13 10 8 7 7 7 Ret 8 Ret 3 14 8 7 8 17† 36 17 Ret 7 6 12 8 12 14 8 Ret Ret 11 Ret DSQ 12 3 13 9 9 6  Toyota 7 14 8 3 9 Ret Ret 8 Ret Ret Ret 4 9 6 7 15 Ret 7 Ret 35 8 16 9 Ret Ret 9 10 17† 11 6 4 Ret 7 12† 9 7 Ret 6 Ret 7  Red Bull-Ferrari 14 10 Ret 8 Ret Ret 14 3 12 8 7 9 11 5 15† 12 9 Ret Ret 16 15 8 Ret Ret Ret Ret 13 Ret 14 11 Ret 12 8 Ret 11 11 12 13 12 8  Williams-Cosworth 9 6 Ret Ret 6 Ret 9 Ret Ret 12 Ret Ret Ret Ret 10 10 8 Ret Ret 11 10 7F Ret Ret 11 7 11 Ret 9 Ret 9 14 Ret Ret Ret Ret 11 10 Ret 9  Toro Rosso-Cosworth 20 11 11 Ret 14 Ret 15† 10 13 13 8 13 10 Ret Ret 14 10 14 13 1 21 13 Ret 9 15 11 Ret 13 Ret 10 Ret 10 12 11 13 13 14 18† 11 10  MF1-Toyota 18 17 13 Ret 16 12 16 15 16 14 Ret Ret DSQ 9 Ret Ret Ret 16 15 0 19 Ret 12 11 Ret 13 Ret 12 15 Ret Ret 15 DSQ 10 Ret 17 15 Ret 14 11  Super Aguri-Honda 22 18 14 12 Ret Ret 17 Ret 17 15† Ret Ret Ret 13 NC 16 DSQ 15 10 0 23 Ret Ret 13 Ret Ret Ret 16 18 Ret Ret 16 Ret Ret Ret Ret 16 17 16 Pos. Constructor No. BHR MAL AUS SMR EUR ESP MON GBR CAN USA FRA GER HUN TUR ITA CHN JPN BRA Points Source:[38][40],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,BHR,MAL,AUS,SMR,EUR,ESP,MON,GBR,CAN,USA,FRA,GER,HUN,TUR,ITA,CHN,JPN,BRA,Points
1,Renault,1,1,2F,1,2F,2P,1P,1P,1PF,1P,5,2,5,Ret,2,Ret,2PF,1F,2,206
1,Renault,2,Ret,1P,5,8,6,3,6,4,4,3,6,6,Ret,6,4,3,3,6,206
2,Ferrari,5,2P,6,Ret,1P,1F,2,5F,2,2,1PF,1PF,1F,8†,3F,1,1,Ret,4F,201
2,Ferrari,6,9,5,Ret,4,3,4F,9,5,5,2,3,2,7F,1P,9,Ret,2P,1P,201
3,McLaren-Mercedes,3,3,Ret,2F,5,4,5,Ret,3,3F,Ret,5,3P,RetP,Ret,2PF,Ret,5,5,110
3,McLaren-Mercedes,4,5,4,Ret,3,Ret,Ret,2,6,Ret,Ret,7,Ret,2,5,Ret,5,11,8,110
4,Honda,11,15,10,7,10,5,7,4,10,Ret,6,Ret,Ret,4,8,6,6,12,7,86
4,Honda,12,4,3,10P†,7,Ret,6,11,Ret,9,Ret,Ret,4,1,4,5,4,4,3,86
5,BMW Sauber,16,12,Ret,4,13,10,8,7,7,7,Ret,8,Ret,3,14,8,7,8,17†,36
5,BMW Sauber,17,Ret,7,6,12,8,12,14,8,Ret,Ret,11,Ret,DSQ,12,3,13,9,9,36
6,Toyota,7,14,8,3,9,Ret,Ret,8,Ret,Ret,Ret,4,9,6,7,15,Ret,7,Ret,35
6,Toyota,8,16,9,Ret,Ret,9,10,17†,11,6,4,Ret,7,12†,9,7,Ret,6,Ret,35
7,Red Bull-Ferrari,14,10,Ret,8,Ret,Ret,14,3,12,8,7,9,11,5,15†,12,9,Ret,Ret,16
7,Red Bull-Ferrari,15,8,Ret,Ret,Ret,Ret,13,Ret,14,11,Ret,12,8,Ret,11,11,12,13,12,16
8,Williams-Cosworth,9,6,Ret,Ret,6,Ret,9,Ret,Ret,12,Ret,Ret,Ret,Ret,10,10,8,Ret,Ret,11
8,Williams-Cosworth,10,7F,Ret,Ret,11,7,11,Ret,9,Ret,9,14,Ret,Ret,Ret,Ret,11,10,Ret,11
9,Toro Rosso-Cosworth,20,11,11,Ret,14,Ret,15†,10,13,13,8,13,10,Ret,Ret,14,10,14,13,1
9,Toro Rosso-Cosworth,21,13,Ret,9,15,11,Ret,13,Ret,10,Ret,10,12,11,13,13,14,18†,11,1
