Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,John Surtees,1–8
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Lorenzo Bandini,All
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Nino Vaccarella,8
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Pedro Rodríguez,9–10
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Bob Bondurant,9
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,158 1512,Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Ludovico Scarfiotti,10
Owen Racing Organisation,BRM,P261,BRM P56 1.5 V8,D,Graham Hill,All
Owen Racing Organisation,BRM,P261,BRM P56 1.5 V8,D,Jackie Stewart,All
Team Lotus,Lotus-Climax,33 25,Climax FWMV 1.5 V8,D,Jim Clark,"1, 3–10"
Team Lotus,Lotus-Climax,33 25,Climax FWMV 1.5 V8,D,Mike Spence,"1, 3–10"
Team Lotus,Lotus-Climax,33 25,Climax FWMV 1.5 V8,D,Gerhard Mitter,7
Team Lotus,Lotus-Climax,33 25,Climax FWMV 1.5 V8,D,Geki,8
Team Lotus,Lotus-Climax,33 25,Climax FWMV 1.5 V8,D,Moisés Solana,9–10
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,G,Jack Brabham,"1–3, 5, 7, 9–10"
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,G,Dan Gurney,"1, 3–10"
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,G,Denny Hulme,"2, 4–8"
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,G,Giancarlo Baghetti,8
Cooper Car Company,Cooper-Climax,T77 T73,Climax FWMV 1.5 V8,D,Bruce McLaren,All
Cooper Car Company,Cooper-Climax,T77 T73,Climax FWMV 1.5 V8,D,Jochen Rindt,All
R.R.C. Walker Racing Team,Brabham-Climax,BT7,Climax FWMV 1.5 V8,D,Jo Bonnier,All
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Jo Siffert,All
DW Racing Enterprises,Brabham-Climax,BT11,Climax FWMV 1.5 V8,D,Bob Anderson,1–7
DW Racing Enterprises,Lotus-Climax,33,Climax FWMV 1.5 V8,D,Paul Hawkins,"2, 7"
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Tony Maggs,1
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Richard Attwood,"2–3, 5–10"
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Mike Hailwood,2
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Innes Ireland,"3–6, 8–10"
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Chris Amon,"4, 7"
Reg Parnell Racing,Lotus-BRM,25 33,BRM P56 1.5 V8,D,Bob Bondurant,10
John Willment Automobiles,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Frank Gardner,"1–3, 5–8"
John Willment Automobiles,Brabham-Ford,BT10,Ford 109E 1.5 L4,D,Paul Hawkins,1
John Love,Cooper-Climax,T55,Climax FPF 1.5 L4,D,John Love,1
David Prophet,Brabham-Ford,BT10,Ford 109E 1.5 L4,D,David Prophet,1
Otelle Nucci,Alfa Special-Alfa Romeo,Special,Alfa Romeo Giulietta 1.5 L4,D,Peter de Klerk,1
Otelle Nucci,LDS-Climax,Mk2,Climax FPF 1.5 L4,D,Doug Serrurier,1
Lawson Organisation,Lotus-Climax,21,Climax FPF 1.5 L4,D,Ernie Pieterse,1
Scuderia Scribante,Lotus-Climax,21,Climax FPF 1.5 L4,D,Neville Lederle,1
Clive Puzey Motors,Lotus-Climax,18/21,Climax FPF 1.5 L4,D,Clive Puzey,1
Sam Tingle,LDS-Alfa Romeo,Mk2,Alfa Romeo Giulietta 1.5 L4,D,Sam Tingle,1
Ted Lanfear,Lotus-Ford,22,Ford 109E 1.5 L4,D,Brausch Niemann,1
Trevor Blokdyk,Cooper-Ford,T59,Ford 109E 1.5 L4,D,Trevor Blokdyk,1
Jackie Pretorius,LDS-Alfa Romeo,Mk1,Alfa Romeo Giulietta 1.5 L4,D,Jackie Pretorius,1
Ecurie Tomahawk,Lotus-Ford,20,Ford 109E 1.5 L4,D,Dave Charlton,1
Honda R & D Company,Honda,RA272,Honda RA272E 1.5 V12,G,Ronnie Bucknum,"2–4, 8–10"
Honda R & D Company,Honda,RA272,Honda RA272E 1.5 V12,G,Richie Ginther,"2–6, 8–10"
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Lucien Bianchi,3
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Willy Mairesse,3
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Masten Gregory,"3, 5, 7–8"
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Roberto Bussinello,7–8
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Giorgio Bassi,8
Bob Gerard Racing,Cooper-Climax,T60,Climax FWMV 1.5 V8,D,John Rhodes,5
Bob Gerard Racing,Cooper-Ford,T71/73,Ford 109E 1.5 L4,D,Alan Rollinson,5
Ian Raby Racing,Brabham-BRM,BT3,BRM P56 1.5 V8,D,Ian Raby,"5, 7"
Ian Raby Racing,Brabham-BRM,BT3,BRM P56 1.5 V8,D,Chris Amon,5
Brian Gubby,Lotus-Climax,24,Climax FWMV 1.5 V8,D,Brian Gubby,5
