Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,South African Grand Prix,Nigel Mansell,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
2,Mexican Grand Prix,Nigel Mansell,Gerhard Berger,Nigel Mansell,Williams-Renault,Report
3,Brazilian Grand Prix,Nigel Mansell,Riccardo Patrese,Nigel Mansell,Williams-Renault,Report
4,Spanish Grand Prix,Nigel Mansell,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
5,San Marino Grand Prix,Nigel Mansell,Riccardo Patrese,Nigel Mansell,Williams-Renault,Report
6,Monaco Grand Prix,Nigel Mansell,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
7,Canadian Grand Prix,Ayrton Senna,Gerhard Berger,Gerhard Berger,McLaren-Honda,Report
8,French Grand Prix,Nigel Mansell,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
9,British Grand Prix,Nigel Mansell,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
10,German Grand Prix,Nigel Mansell,Riccardo Patrese,Nigel Mansell,Williams-Renault,Report
11,Hungarian Grand Prix,Riccardo Patrese,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
12,Belgian Grand Prix,Nigel Mansell,Michael Schumacher,Michael Schumacher,Benetton-Ford,Report
13,Italian Grand Prix,Nigel Mansell,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
14,Portuguese Grand Prix,Nigel Mansell,Ayrton Senna,Nigel Mansell,Williams-Renault,Report
15,Japanese Grand Prix,Nigel Mansell,Nigel Mansell,Riccardo Patrese,Williams-Renault,Report
16,Australian Grand Prix,Nigel Mansell,Michael Schumacher,Gerhard Berger,McLaren-Honda,Report
Source:[13],Source:[13],Source:[13],Source:[13],Source:[13],Source:[13],Source:[13]
