Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",1 March
2,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",22 March
3,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",5 April
4,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",3 May
5,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",17 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",31 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",14 June
8,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",5 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",12 July
10,German Grand Prix,"Hockenheimring, Hockenheim",26 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",16 August
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",30 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",13 September
14,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",27 September
15,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",25 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",8 November
Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6]
