Entrant,Constructor,Chassis,Engine,No,Driver,Rounds
Honda Marlboro McLaren,McLaren-Honda,MP4/6B MP4/7A,Honda RA122E 3.5 V12 Honda RA122E/B 3.5 V12,1,Ayrton Senna,All
Honda Marlboro McLaren,McLaren-Honda,MP4/6B MP4/7A,Honda RA122E 3.5 V12 Honda RA122E/B 3.5 V12,2,Gerhard Berger,All
Tyrrell,Tyrrell-Ilmor,020B,Ilmor 2175A 3.5 V10,3,Olivier Grouillard,All
Tyrrell,Tyrrell-Ilmor,020B,Ilmor 2175A 3.5 V10,4,Andrea de Cesaris,All
Canon Williams Renault,Williams-Renault,FW14B,Renault RS3C 3.5 V10 Renault RS4 3.5 V10,5,Nigel Mansell,All
Canon Williams Renault,Williams-Renault,FW14B,Renault RS3C 3.5 V10 Renault RS4 3.5 V10,6,Riccardo Patrese,All
Brabham,Brabham-Judd,BT60B,Judd GV 3.5 V10,7,Eric van de Poele,1–10
Brabham,Brabham-Judd,BT60B,Judd GV 3.5 V10,8,Giovanna Amati,1–3
Brabham,Brabham-Judd,BT60B,Judd GV 3.5 V10,8,Damon Hill,4–11
Footwork Mugen-Honda,Footwork-Mugen-Honda,FA13,Mugen-Honda MF-351H 3.5 V10,9,Michele Alboreto,All
Footwork Mugen-Honda,Footwork-Mugen-Honda,FA13,Mugen-Honda MF-351H 3.5 V10,10,Aguri Suzuki,All
Team Lotus  Team Castrol Lotus,Lotus-Ford,102D 107,Ford HBA5 3.5 V8,11,Mika Häkkinen,All
Team Lotus  Team Castrol Lotus,Lotus-Ford,102D 107,Ford HBA5 3.5 V8,12,Johnny Herbert,All
Fondmetal,Fondmetal-Ford,GR01 GR02,Ford HBA5 3.5 V8,14,Andrea Chiesa,1–10
Fondmetal,Fondmetal-Ford,GR01 GR02,Ford HBA5 3.5 V8,14,Eric van de Poele,11–13
Fondmetal,Fondmetal-Ford,GR01 GR02,Ford HBA5 3.5 V8,15,Gabriele Tarquini,1–13
March F1,March-Ilmor,CG911B,Ilmor 2175A 3.5 V10,16,Karl Wendlinger,1–14
March F1,March-Ilmor,CG911B,Ilmor 2175A 3.5 V10,16,Jan Lammers,15–16
March F1,March-Ilmor,CG911B,Ilmor 2175A 3.5 V10,17,Paul Belmondo,1–11
March F1,March-Ilmor,CG911B,Ilmor 2175A 3.5 V10,17,Emanuele Naspetti,12–16
Camel Benetton Ford,Benetton-Ford,B191B B192,Ford HBA5 3.5 V8 Ford HBA7 3.5 V8,19,Michael Schumacher,All
Camel Benetton Ford,Benetton-Ford,B191B B192,Ford HBA5 3.5 V8 Ford HBA7 3.5 V8,20,Martin Brundle,All
BMS Scuderia Italia,BMS Dallara-Ferrari,F192,Ferrari Tipo 037 3.5 V12,21,JJ Lehto,All
BMS Scuderia Italia,BMS Dallara-Ferrari,F192,Ferrari Tipo 037 3.5 V12,22,Pierluigi Martini,All
Minardi Team,Minardi-Lamborghini,M191B M192,Lamborghini LE3512 3.5 V12,23,Christian Fittipaldi,"1–8, 12–16"
Minardi Team,Minardi-Lamborghini,M191B M192,Lamborghini LE3512 3.5 V12,23,Alessandro Zanardi,9–11
Minardi Team,Minardi-Lamborghini,M191B M192,Lamborghini LE3512 3.5 V12,24,Gianni Morbidelli,All
Ligier Gitanes Blondes,Ligier-Renault,JS37,Renault RS3C 3.5 V10,25,Thierry Boutsen,All
Ligier Gitanes Blondes,Ligier-Renault,JS37,Renault RS3C 3.5 V10,26,Érik Comas,All
Ferrari,Ferrari,F92A F92AT,Ferrari Tipo 038 3.5 V12,27,Jean Alesi,All
Ferrari,Ferrari,F92A F92AT,Ferrari Tipo 038 3.5 V12,28,Ivan Capelli,1–14
Ferrari,Ferrari,F92A F92AT,Ferrari Tipo 038 3.5 V12,28,Nicola Larini,15–16
Central Park Venturi Larrousse,Venturi-Lamborghini[3],LC92,Lamborghini LE3512 3.5 V12,29,Bertrand Gachot,All
Central Park Venturi Larrousse,Venturi-Lamborghini[3],LC92,Lamborghini LE3512 3.5 V12,30,Ukyo Katayama,All
Sasol Jordan Yamaha,Jordan-Yamaha,192,Yamaha OX99 3.5 V12,32,Stefano Modena,All
Sasol Jordan Yamaha,Jordan-Yamaha,192,Yamaha OX99 3.5 V12,33,Maurício Gugelmin,All
Andrea Moda Formula,Andrea Moda-Judd,C4B S921,Judd GV 3.5 V10,34,Alex Caffi,1–2
Andrea Moda Formula,Andrea Moda-Judd,C4B S921,Judd GV 3.5 V10,34,Roberto Moreno,"3–7, 9–12"
Andrea Moda Formula,Andrea Moda-Judd,C4B S921,Judd GV 3.5 V10,35,Enrico Bertaggia,1–2
Andrea Moda Formula,Andrea Moda-Judd,C4B S921,Judd GV 3.5 V10,35,Perry McCarthy,"3–7, 9–12"
Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed]
