Pos.,Constructor,No.,RSA,BRA,EUR,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,AUS,Points
1,Williams-Renault,0,Ret,2,2,Ret,Ret,2,3,2P,RetF,15†,1,1,1F,3PF,4,3F,168
1,Williams-Renault,2,1PF,RetP,3P,1PF,1P,4PF,1P,1,1P,1P,12PF,3PF,12P†,2,2PF,2,168
2,McLaren-Ford,7,Ret,Ret,Ret,Ret,5,8,14,6,Ret,Ret,Ret,8,3,Ret,3,Ret,84
2,McLaren-Ford,8,2,1,1F,Ret,2,1,18†,4,5†,4,Ret,4,Ret,Ret,1,1P,84
3,Benetton-Ford,5,Ret,3F,Ret,2,3F,Ret,2F,3F,2,2F,Ret,2,Ret,1,Ret,Ret,72
3,Benetton-Ford,6,Ret,Ret,5,Ret,4,Ret,Ret,10,3,5,2,6,5,16†,Ret,8†,72
4,Ferrari,27,Ret,8,Ret,Ret,Ret,3,Ret,Ret,9,7,Ret,Ret,2,4,Ret,4,28
4,Ferrari,28,6†,Ret,Ret,Ret,6,14†,4,14,Ret,6,3,10†,Ret,Ret,Ret,5,28
5,Ligier-Renault,25,Ret,Ret,Ret,3,Ret,6,5,5,14†,8,5,7,Ret,6,9,6,23
5,Ligier-Renault,26,3,5,Ret,Ret,7,Ret,Ret,Ret,7,3,7,11†,Ret,Ret,7,9,23
6,Lotus-Ford,11,Ret,6,8,Ret,14†,7,11,Ret,Ret,Ret,Ret,DNQ,11†,Ret,13†,Ret,12
6,Lotus-Ford,12,Ret,4,4,8†,Ret,Ret,10,Ret,4,10,Ret,5,Ret,Ret,11,Ret,12
7,Sauber,29,Ret,Ret,Ret,Ret,Ret,13,6,Ret,Ret,9,6,Ret,4,5,Ret,15†,12
7,Sauber,30,5,Ret,Ret,4†,Ret,Ret,7,Ret,8,Ret,Ret,9,Ret,7,8,Ret,12
8,Minardi-Ford,23,4,Ret,7,Ret,8,5,9,8,12†,11,Ret,Ret,8,9,Ret,Ret,7
8,Minardi-Ford,24,Ret,Ret,6,6,Ret,11,Ret,Ret,Ret,14,Ret,Ret,7,8,10,Ret,7
9,Footwork-Mugen-Honda,9,7†,9,Ret,Ret,13,Ret,16,13,6,17,4,Ret,Ret,15†,14†,10,4
9,Footwork-Mugen-Honda,10,Ret,Ret,Ret,9,10,Ret,13,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret,7,4
10,Larrousse-Lamborghini,19,Ret,7,Ret,5,Ret,12,Ret,9,11,12,8,12,9,10,12,14,3
10,Larrousse-Lamborghini,20,Ret,10,9,Ret,9,Ret,8,16†,Ret,Ret,Ret,Ret,6,11,Ret,12,3
11,Jordan-Hart,14,Ret,Ret,10†,Ret,12,9,Ret,7,10,Ret,Ret,Ret,Ret,13,5,11,3
11,Jordan-Hart,15,Ret,DNQ,Ret,Ret,11,Ret,12,11,Ret,13,9,Ret,Ret,Ret,6,Ret,3
—,Lola-Ferrari,21,Ret,11,11,DNQ,DNQ,Ret,DNQ,DNQ,DNQ,16,Ret,14,Ret,Ret,,,0
—,Lola-Ferrari,22,Ret,12,DNQ,7,Ret,DNQ,15,Ret,Ret,Ret,Ret,13,10,14,,,0
—,Tyrrell-Yamaha,3,Ret,Ret,Ret,Ret,Ret,Ret,17,Ret,13,Ret,10,15,14,Ret,Ret,Ret,0
—,Tyrrell-Yamaha,4,Ret,Ret,Ret,Ret,DSQ,10,Ret,15,NC,Ret,11,Ret,13,12,Ret,13,0
Pos.,Constructor,No.,RSA,BRA,EUR,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,AUS,Points
