Race name,Circuit,Date,Winning driver,Constructor,Report
Marlboro / Daily Mail Race of Champions,Brands Hatch,15 April,Gilles Villeneuve,Ferrari,Report
Gunnar Nilsson Memorial Trophy,Donington Park,3 June,Alan Jones,Williams-Ford,Report
Dino Ferrari Grand Prix,Imola,16 September,Niki Lauda,Brabham-Alfa Romeo,Report
