Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,Jacques Laffite,Jacques Laffite,Jacques Laffite,Ligier-Ford,Report
2,Brazilian Grand Prix,Jacques Laffite,Jacques Laffite,Jacques Laffite,Ligier-Ford,Report
3,South African Grand Prix,Jean-Pierre Jabouille,Gilles Villeneuve,Gilles Villeneuve,Ferrari,Report
4,United States Grand Prix West,Gilles Villeneuve,Gilles Villeneuve,Gilles Villeneuve,Ferrari,Report
5,Spanish Grand Prix,Jacques Laffite,Gilles Villeneuve,Patrick Depailler,Ligier-Ford,Report
6,Belgian Grand Prix,Jacques Laffite,Gilles Villeneuve,Jody Scheckter,Ferrari,Report
7,Monaco Grand Prix,Jody Scheckter,Patrick Depailler,Jody Scheckter,Ferrari,Report
8,French Grand Prix,Jean-Pierre Jabouille,René Arnoux,Jean-Pierre Jabouille,Renault,Report
9,British Grand Prix,Alan Jones,Clay Regazzoni,Clay Regazzoni,Williams-Ford,Report
10,German Grand Prix,Jean-Pierre Jabouille,Gilles Villeneuve,Alan Jones,Williams-Ford,Report
11,Austrian Grand Prix,René Arnoux,René Arnoux,Alan Jones,Williams-Ford,Report
12,Dutch Grand Prix,René Arnoux,Gilles Villeneuve,Alan Jones,Williams-Ford,Report
13,Italian Grand Prix,Jean-Pierre Jabouille,Clay Regazzoni,Jody Scheckter,Ferrari,Report
14,Canadian Grand Prix,Alan Jones,Alan Jones,Alan Jones,Williams-Ford,Report
15,United States Grand Prix,Alan Jones,Nelson Piquet,Gilles Villeneuve,Ferrari,Report
