Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",21 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",4 February
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",3 March
4,United States Grand Prix West,"Long Beach Street Circuit, California",8 April
5,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",29 April
6,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",13 May
7,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",27 May
8,French Grand Prix,"Dijon-Prenois, Prenois",1 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",14 July
10,German Grand Prix,"Hockenheimring, Hockenheim",29 July
11,Austrian Grand Prix,"Österreichring, Spielberg",12 August
12,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",26 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",9 September
14,Canadian Grand Prix,"Île Notre-Dame Circuit, Montréal",30 September
15,United States Grand Prix,"Watkins Glen Grand Prix Course, New York",7 October
