Race Name,Circuit,Date,Winning driver,Constructor,Report
VIII Race of Champions,Brands Hatch,18 March,Peter Gethin,Chevron-Chevrolet,Report
XXV BRDC International Trophy,Silverstone,8 April,Jackie Stewart,Tyrrell-Ford,Report
