Pos.,Driver,ARG,BRA,RSA,ESP,BEL,MON,SWE,FRA,GBR,NED,GER,AUT,ITA,CAN,USA,Points
1,Jackie Stewart,3,2,1,Ret,1,1,5,4,10,1,1,2,4,5,DNS,71
2,Emerson Fittipaldi,1,1,3,1,3,2,12,Ret,Ret,Ret,6,Ret,2,2,6,55
3,Ronnie Peterson,Ret,Ret,11,Ret,Ret,3,2,1,2,11,Ret,1,1,Ret,1,52
4,François Cevert,2,10,NC,2,2,4,3,2,5,2,2,Ret,5,Ret,DNS†,47
5,Peter Revson,8,Ret,2,4,Ret,5,7,,1,4,9,Ret,3,1,5,38
6,Denny Hulme,5,3,5,6,7,6,1,8,3,Ret,12,8,15,13,4,26
7,Carlos Reutemann,Ret,11,7,Ret,Ret,Ret,4,3,6,Ret,Ret,4,6,8,3,16
8,James Hunt,,,,,,9,,6,4,3,,Ret,DNS,7,2,14
9,Jacky Ickx,4,5,Ret,12,Ret,Ret,6,5,8,,3,,8,,7,12
10,Jean-Pierre Beltoise,Ret,Ret,Ret,5,Ret,Ret,Ret,11,Ret,5,Ret,5,13,4,9,9
11,Carlos Pace,Ret,Ret,Ret,Ret,8,Ret,10,13,Ret,7,4,3,Ret,18,Ret,7
12,Arturo Merzario,9,4,4,,,Ret,,7,,,,7,Ret,15,16,6
13,George Follmer,,,6,3,Ret,DNS,14,Ret,Ret,10,Ret,Ret,10,17,14,5
14,Jackie Oliver,,,Ret,Ret,Ret,10,Ret,Ret,Ret,Ret,8,Ret,11,3,15,4
15,Andrea de Adamich,,,8,Ret,4,7,,Ret,Ret,,,,,,,3
=[1],Wilson Fittipaldi,6,Ret,Ret,10,Ret,11,Ret,16,Ret,Ret,5,Ret,Ret,11,NC,3
17,Niki Lauda,Ret,8,Ret,Ret,5,Ret,13,9,12,Ret,Ret,DNS,Ret,Ret,Ret,2
=[1],Clay Regazzoni,7,6,Ret,9,10,Ret,9,12,7,8,Ret,6,Ret,,8,2
19,Chris Amon,,,,,6,Ret,,,Ret,Ret,,DNS,,10,DNS,1
=[1],Gijs van Lennep,,,,,,,,,,6,,9,Ret,,,1
=[1],Howden Ganley,NC,7,10,Ret,Ret,Ret,11,14,9,9,DNS,NC,NC,6,12,1
—,Mike Hailwood,Ret,Ret,Ret,Ret,Ret,8,Ret,Ret,Ret,Ret,14,10,7,9,Ret,0
—,Mike Beuttler,10,Ret,NC,7,11,Ret,8,,11,Ret,16,Ret,Ret,Ret,10,0
—,Jochen Mass,,,,,,,,,Ret,,7,,,,Ret,0
—,Henri Pescarolo,,,,8,,,,Ret,,,10,,,,,0
—,Graham Hill,,,,Ret,9,Ret,Ret,10,Ret,NC,13,Ret,14,16,13,0
—,Nanni Galli,Ret,9,,11,Ret,Ret,,,,,,,,,,0
—,David Purley,,,,,,Ret,,,DNS,Ret,15,,9,,,0
—,Jody Scheckter,,,9,,,,,Ret,Ret,,,,,Ret,Ret,0
—,Rolf Stommelen,,,,,,,,,,,11,Ret,12,12,,0
—,Jean-Pierre Jarier,Ret,Ret,NC,,Ret,Ret,Ret,Ret,,,,Ret,,NC,11,0
—,Luiz Bueno,,12,,,,,,,,,,,,,,0
—,Rikky von Opel,,,,,,,,15,13,DNS,,Ret,Ret,NC,Ret,0
—,Tim Schenken,,,,,,,,,,,,,,14,,0
—,Eddie Keizan,,,NC,,,,,,,,,,,,,0
—,Roger Williamson,,,,,,,,,Ret,Ret†,,,,,,0
—,John Watson,,,,,,,,,Ret,,,,,,Ret,0
—,Reine Wisell,,,,,,,DNS,Ret,,,,,,,,0
—,Dave Charlton,,,Ret,,,,,,,,,,,,,0
—,Jackie Pretorius,,,Ret,,,,,,,,,,,,,0
—,Graham McRae,,,,,,,,,Ret,,,,,,,0
—,Peter Gethin,,,,,,,,,,,,,,Ret,,0
—,Brian Redman,,,,,,,,,,,,,,,DSQ,0
—,Tom Belsø,,,,,,,DNS,,,,,,,,,0
Pos,Driver,ARG,BRA,RSA,ESP,BEL,MON,SWE,FRA,GBR,NED,GER,AUT,ITA,CAN,USA,Points
