Pos.,Driver,RSA,MON,NED,BEL,FRA,GBR,Unnamed: 8,GER,CAN,ITA,USA,MEX,Pts.[16]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Denny Hulme,4F,1,3,Ret,2,2F,1,2,Ret,3,3,51,
2,Jack Brabham,6P,RetP,2,Ret,1,4,2,1,2,(5),2,46 (48),
3,Jim Clark,Ret,RetF,1F,6P,Ret,1P,RetP,RetPF,3PF,1,1PF,41,
4,John Surtees,3,Ret,Ret,Ret,,6,4,,1,Ret,4,20,
5,Chris Amon,,3,4,3,Ret,3,3,6,7,Ret,9,20,
6,Pedro Rodríguez,1,5,Ret,9,6,5,11,,,,6,15,
7,Graham Hill,Ret,2,RetP,Ret,RetPF,Ret,Ret,4,Ret,2PF,Ret,15,
8,Dan Gurney,Ret,Ret,Ret,1F,Ret,Ret,RetF,3,Ret,Ret,Ret,13,
9,Jackie Stewart,Ret,Ret,Ret,2,3,Ret,Ret,Ret,Ret,Ret,Ret,10,
10,Mike Spence,Ret,6,8,5,Ret,Ret,Ret,5,5,Ret,5,9,
11,John Love,2,,,,,,,,,,,6,
12,Jo Siffert,Ret,Ret,10,7,4,Ret,Ret,DNS,Ret,4,12,6,
13,Jochen Rindt,Ret,Ret,Ret,4,Ret,Ret,Ret,Ret,4,Ret,,6,
14,Bruce McLaren,,4,Ret,,Ret,Ret,Ret,7,Ret,Ret,Ret,3,
15,Jo Bonnier,Ret,,,Ret,,Ret,6,8,Ret,6,10,3,
16,Chris Irwin,,,7,Ret,5,7,9,Ret,Ret,Ret,Ret,2,
17,Bob Anderson,5,DNQ,9,8,Ret,Ret,,,,,,2,
18,Mike Parkes,,,5,Ret,,,,,,,,2,
19,Guy Ligier,,,,10,NC,10,8,,Ret,Ret,11,1,
20,Ludovico Scarfiotti,,,6,NC,,,,,Ret,,,1,
21,Jacky Ickx,,,,,,,Ret1,,6,Ret,,1,
—,Jean-Pierre Beltoise,,DNQ,,,,,,,,7,7,0,
—,David Hobbs,,,,,,8,101,9,,,,0,
—,Jonathan Williams,,,,,,,,,,,8,0,
—,Alan Rees,,,,,,9,71,,,,,0,
—,Richard Attwood,,,,,,,,10,,,,0,
—,Mike Fisher,,,,,,,,11,,,DNS,0,
—,Dave Charlton,NC,,,,,,,,,,,0,
—,Luki Botha,NC,,,,,,,,,,,0,
—,Al Pease,,,,,,,,NC,,,,0,
—,Piers Courage,Ret,Ret,,,,DNS,,,,,,0,
—,Moisés Solana,,,,,,,,,,Ret,Ret,0,
—,Sam Tingle,Ret,,,,,,,,,,,0,
—,Lorenzo Bandini†,,Ret†,,,,,,,,,,0,
—,Johnny Servoz-Gavin,,Ret,,,,,,,,,,0,
—,Silvio Moser,,,,,,Ret,,,,,,0,
—,Hubert Hahne,,,,,,,Ret,,,,,0,
—,Giancarlo Baghetti,,,,,,,,,Ret,,,0,
—,Eppie Wietzes,,,,,,,,DSQ,,,,0,
—,Tom Jones,,,,,,,,DNQ,,,,0,
—,Richie Ginther,,DNQ,,,,,,,,,,0,
"Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars","Drivers ineligible for Formula One points, because they drove with Formula Two cars"
—,Jackie Oliver,,,,,,,,5,,,,,
—,Brian Hart,,,,,,,,NC,,,,,
—,Kurt Ahrens Jr.,,,,,,,,Ret,,,,,
—,Jo Schlesser,,,,,,,,Ret,,,,,
—,Gerhard Mitter,,,,,,,,Ret,,,,,
—,Brian Redman,,,,,,,,DNS,,,,,
Pos.,Driver,RSA,MON,NED,BEL,FRA,GBR,,GER,CAN,ITA,USA,MEX,Pts.
