Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autódromo Internacional Nelson Piquet, Jacarepaguá",26 March
2,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",23 April
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",7 May
4,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",28 May
5,United States Grand Prix,"Phoenix Street Circuit, Phoenix, Arizona",4 June
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",18 June
7,French Grand Prix,"Circuit Paul Ricard, Le Castellet",9 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
9,German Grand Prix,"Hockenheimring, Hockenheim",30 July
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",13 August
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",27 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
13,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",24 September
14,Spanish Grand Prix,"Circuito de Jerez, Jerez de la Frontera",1 October
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",22 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",5 November
