Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Brazilian Grand Prix,Ayrton Senna,Riccardo Patrese,Nigel Mansell,Ferrari,Report
2,San Marino Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
3,Monaco Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
4,Mexican Grand Prix,Ayrton Senna,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
5,United States Grand Prix,Ayrton Senna,Ayrton Senna,Alain Prost,McLaren-Honda,Report
6,Canadian Grand Prix,Alain Prost,Jonathan Palmer,Thierry Boutsen,Williams-Renault,Report
7,French Grand Prix,Alain Prost,Maurício Gugelmin,Alain Prost,McLaren-Honda,Report
8,British Grand Prix,Ayrton Senna,Nigel Mansell,Alain Prost,McLaren-Honda,Report
9,German Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
10,Hungarian Grand Prix,Riccardo Patrese,Nigel Mansell,Nigel Mansell,Ferrari,Report
11,Belgian Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
12,Italian Grand Prix,Ayrton Senna,Alain Prost,Alain Prost,McLaren-Honda,Report
13,Portuguese Grand Prix,Ayrton Senna,Gerhard Berger,Gerhard Berger,Ferrari,Report
14,Spanish Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
15,Japanese Grand Prix,Ayrton Senna,Alain Prost,Alessandro Nannini[a],Benetton-Ford,Report
16,Australian Grand Prix,Ayrton Senna,Satoru Nakajima,Thierry Boutsen,Williams-Renault,Report
