Entrant,Constructor,Chassis,Engine,Tyre,No,Driver,Rounds
Scuderia Ferrari,Ferrari,641,Ferrari Tipo 036 3.5 V12 Ferrari Tipo 037 3.5 V12,G,1,Alain Prost,All
Scuderia Ferrari,Ferrari,641,Ferrari Tipo 036 3.5 V12 Ferrari Tipo 037 3.5 V12,G,2,Nigel Mansell,All
Tyrrell Racing Organisation,Tyrrell-Ford,018 019,Ford Cosworth DFR 3.5 V8,P,3,Satoru Nakajima,All
Tyrrell Racing Organisation,Tyrrell-Ford,018 019,Ford Cosworth DFR 3.5 V8,P,4,Jean Alesi,All
Canon Williams,Williams-Renault,FW13B,Renault RS2 3.5 V10,G,5,Thierry Boutsen,All
Canon Williams,Williams-Renault,FW13B,Renault RS2 3.5 V10,G,6,Riccardo Patrese,All
Motor Racing Developments,Brabham-Judd,BT58 BT59,Judd EV 3.5 V8,P,7,Gregor Foitek,1–2
Motor Racing Developments,Brabham-Judd,BT58 BT59,Judd EV 3.5 V8,P,7,David Brabham,3–16
Motor Racing Developments,Brabham-Judd,BT58 BT59,Judd EV 3.5 V8,P,8,Stefano Modena,All
Footwork Arrows Ford,Arrows-Ford,A11 A11B,Ford Cosworth DFR 3.5 V8,G,9,Michele Alboreto,All
Footwork Arrows Ford,Arrows-Ford,A11 A11B,Ford Cosworth DFR 3.5 V8,G,10,Bernd Schneider,"1, 14"
Footwork Arrows Ford,Arrows-Ford,A11 A11B,Ford Cosworth DFR 3.5 V8,G,10,Alex Caffi,"2–13, 15–16"
Camel Team Lotus,Lotus-Lamborghini,102,Lamborghini LE3512 3.5 V12,G,11,Derek Warwick,All
Camel Team Lotus,Lotus-Lamborghini,102,Lamborghini LE3512 3.5 V12,G,12,Martin Donnelly,1–14
Camel Team Lotus,Lotus-Lamborghini,102,Lamborghini LE3512 3.5 V12,G,12,Johnny Herbert,15–16
Fondmetal Osella,Osella-Ford,FA1M FA1ME,Ford Cosworth DFR 3.5 V8,P,14,Olivier Grouillard,All
Leyton House Racing,Leyton House-Judd,CG901,Judd EV 3.5 V8,G,15,Maurício Gugelmin,All
Leyton House Racing,Leyton House-Judd,CG901,Judd EV 3.5 V8,G,16,Ivan Capelli,All
AGS,AGS-Ford,JH24 JH25,Ford Cosworth DFR 3.5 V8,G,17,Gabriele Tarquini,All
AGS,AGS-Ford,JH24 JH25,Ford Cosworth DFR 3.5 V8,G,18,Yannick Dalmas,All
Benetton Formula,Benetton-Ford,B189B B190,Ford HBA4 3.5 V8,G,19,Alessandro Nannini,1–14
Benetton Formula,Benetton-Ford,B189B B190,Ford HBA4 3.5 V8,G,19,Roberto Moreno,15–16
