vteWorld championships in 2013,vteWorld championships in 2013.1
Summer sports & indoor sports,Aquatics Archery Athletics cross country Badminton Beach soccer Beach volleyball Boxing (amateur) Bowls Canoeing sprint slalom Cycling road track BMX mountain bike Fencing Floorball (women) Futsal women AMF women Gymnastics artistic rhythmic trampoline Handball men women Judo Modern pentathlon Orienteering Rowing Squash men women men's team Table tennis Taekwondo Weightlifting Wrestling Wushu
Winter sports,Alpine skiing Bandy (men) Biathlon Bobsleigh / Skeleton Curling men women mixed doubles wheelchair Figure skating Ice hockey men Nordic skiing Speed skating allround sprint single distance short track
Cue & mind sports,Chess open women rapid blitz Darts BDO PDC Draughts men match men women Pool Nine-ball Snooker six-red
Motor sports,Endurance Formula One F1 Powerboat Motocross MotoGP Moto2 Moto3 Rally Sidecarcross Superbike Supersport Speedway individual team Radio-controlled 1:10 off-road Touring car
