Unnamed: 0,Driver,Seasons[N 15],First championship,Debut year
1,Nigel Mansell,13,1992,1980
2,Nico Rosberg,11,2016,2006
3,Mario Andretti,10,1978,1968[N 17]
3,Jenson Button,10,2009,2000
5,Jody Scheckter,8,1979,1972
5,Mika Häkkinen,8,1998,1991
7,Mike Hawthorn,7,1958,1952
7,Jochen Rindt,7,1970,1964
7,Kimi Räikkönen,7,2007,2001
7,Max Verstappen,7,2021,2015
7,Lando Norris,7,2025,2019
Source:[101],Source:[101],Source:[101],Source:[101],Source:[101]
