Unnamed: 0,Driver,Age,Place,Race
1,Luigi Fagioli,"53 years, 22 days",1st,1951 French Grand Prix
2,Louis Chiron,"50 years, 291 days",3rd,1950 Monaco Grand Prix
3,Felice Bonetto,"49 years, 363 days",3rd,1953 Dutch Grand Prix
4,Piero Taruffi,"48 years, 334 days",2nd,1955 Italian Grand Prix
5,Giuseppe Farina,"48 years, 218 days",3rd,1955 Belgian Grand Prix
6,Juan Manuel Fangio,"46 years, 76 days",2nd,1957 Italian Grand Prix
7,Karl Kling,"44 years, 303 days",3rd,1955 British Grand Prix
8,Louis Rosier,"44 years, 225 days",3rd,1950 Belgian Grand Prix
9,Luigi Villoresi,"44 years, 120 days",3rd,1953 Italian Grand Prix
10,Jack Brabham,"44 years, 107 days",2nd,1970 British Grand Prix
Source:[55],Source:[55],Source:[55],Source:[55],Source:[55]
