Unnamed: 0,Driver,Starts,DNFs,Percentage
1,Riccardo Patrese,256,147,57.42%
1,Andrea de Cesaris[N 14],208,147,70.67%
3,Michele Alboreto,194,102,52.58%
4,Rubens Barrichello,323,97,30.03%
5,Gerhard Berger,210,95,45.24%
6,Nigel Mansell,187,92,45.24%
6,Jarno Trulli,252,92,36.51%
8,Jacques Laffite,176,87,49.43%
8,Jean Alesi,201,87,43.28%
10,Nelson Piquet,204,86,42.16%
Source:[80],Source:[80],Source:[80],Source:[80],Source:[80]
