Unnamed: 0,Driver,Laps
1,Lewis Hamilton,5488
2,Michael Schumacher,5111
3,Max Verstappen,3872
4,Sebastian Vettel,3501
5,Ayrton Senna,2931
6,Alain Prost,2683
7,Nigel Mansell,2091
8,Jim Clark,1943
9,Jackie Stewart,1919
10,Fernando Alonso,1773
Source:[84],Source:[84],Source:[84]
