Description,Record,Details,Ref.
Worst finishing position in a race,24th,Narain Karthikeyan (2011 European Grand Prix),[22]
Highest percentage of race finishes in a season,100%,"Dan Gurney (1961)  Graham Hill (1962)  Jim Clark (1963)  Richie Ginther (1964)  Michael Schumacher (2002)  Nick Heidfeld (2008)  Kimi Räikkönen (2012)  Max Chilton (2013)  Daniel Ricciardo (2016)  Lewis Hamilton (2017, 2019)  Max Verstappen (2023)  Oscar Piastri (2024)  George Russell (2025)",[201][202]
Most classified finishes,353,Fernando Alonso,[203]
Most consecutive finishes from start of career,27,Esteban Ocon (2016 Belgian Grand Prix – 2017 Mexican Grand Prix),[204]
Most consecutive retirements,18,Andrea de Cesaris (1985 French Grand Prix – 1986 Portuguese Grand Prix)[N 21],[205][206]
Most retirements in a season,14,"Andrea de Cesaris (1986, 1987)",[22][206][207]
Most retirements at one circuit,12,Andrea de Cesaris (Imola),[208]
