Description,Record,Details,Ref.
Points finishes with most different constructors,9,"Andrea de Cesaris (McLaren, Alfa Romeo, Ligier, Brabham, Rial, Dallara, Jordan, Tyrrell, Sauber)",[195]
Longest time between first and last points finishes,"22 years, 284 days",Fernando Alonso (2003 Australian Grand Prix – 2025 Abu Dhabi Grand Prix),[196]
Longest time between successive points finishes,"8 years, 256 days",Robert Kubica (2010 Abu Dhabi Grand Prix – 2019 German Grand Prix),[197]
Most races between successive points finishes,168,Robert Kubica (2010 Abu Dhabi Grand Prix – 2019 German Grand Prix),[197]
Most consecutive seasons with points finishes,19,Lewis Hamilton (2007–2025) (ongoing),[198]
Most points without a podium,124,Adrian Sutil  Yuki Tsunoda,[199]
Most laps completed without scoring a point,2364,Luca Badoer,[22]
Most points in first championship season,150,Kimi Antonelli (2025),[200]
