Unnamed: 0,Driver,Seasons,Total
1,Michael Schumacher,1992–2006,15
1,Lewis Hamilton,2007–2021,15
3,Alain Prost,1981–1990,10
3,Max Verstappen,2016–2025 (ongoing),10
5,Ayrton Senna,1985–1993,9
6,Nelson Piquet,1980–1987,8
7,Stirling Moss,1955–1961,7
7,Jim Clark,1962–1968,7
7,David Coulthard,1997–2003,7
10,Jackie Stewart,1968–1973,6
10,Sebastian Vettel,2008–2013,6
Source:[29],Source:[29],Source:[29],Source:[29]
