Description,Record,Details,Ref.
Most races,104,"Michael Schumacher and Rubens Barrichello (Ferrari, 2000–2005)",[224]
Most 1–2 finishes,31,"Lewis Hamilton and Nico Rosberg (Mercedes, 2014–2016)",[225]
Most grid front rows,44,"Lewis Hamilton and Nico Rosberg (Mercedes, 2013–2016)",[226]
Most 1–2 finishes from front row,27,"Lewis Hamilton and Nico Rosberg (Mercedes, 2014–2016)",[227]
