Unnamed: 0,Entry,Start,Driver,Race
1,1st race,1st race,Giuseppe Farina,1950 British Grand Prix
1,1st race,1st race,Johnnie Parsons,1950 Indianapolis 500[N 1]
1,1st race,1st race,Giancarlo Baghetti,1961 French Grand Prix
4,2nd race,2nd race,Juan Manuel Fangio,1950 Monaco Grand Prix
4,2nd race,2nd race,Lee Wallard,1951 Indianapolis 500[N 1]
6,3rd race,3rd race,Troy Ruttman,1952 Indianapolis 500[N 1]
7,4th race,3rd race,Bill Vukovich,1953 Indianapolis 500[N 1]
7,4th race,3rd race,Tony Brooks[N 8],1957 British Grand Prix
7,4th race,4th race,Jacques Villeneuve,1996 European Grand Prix
10,5th race,4th race,Pat Flaherty,1956 Indianapolis 500[N 1]
10,5th race,4th race,Emerson Fittipaldi,1970 United States Grand Prix
10,5th race,5th race,José Froilán González,1951 British Grand Prix
10,5th race,5th race,Clay Regazzoni,1970 Italian Grand Prix
Source:[20],Source:[20],Source:[20],Source:[20],Source:[20]
