Unnamed: 0,Driver,Seasons,Entries,Poles,Percentage
1,Juan Manuel Fangio,"1950–1951, 1953–1958",52,29,55.77%
2,Jim Clark,1960–1968,73,33,45.21%
3,Alberto Ascari,1950–1955,33,14,42.42%
4,Ayrton Senna,1984–1994,162,65,40.12%
5,Lewis Hamilton,2007–2025,380,104,27.37%
6,Stirling Moss,1951–1961,67,16,23.88%
7,Michael Schumacher,"1991–2006, 2010–2012",308,68,22.08%
8,Max Verstappen,2015–2025,233,48,20.60%
9,Sebastian Vettel,2007–2022,300,57,19.00%
10,Jackie Stewart,1965–1973,100,17,17.00%
Source:[30],Source:[30],Source:[30],Source:[30],Source:[30],Source:[30]
