Unnamed: 0,Driver,Age,Race
1,Kimi Antonelli,"18 years, 225 days",2025 Japanese Grand Prix
2,Max Verstappen,"18 years, 228 days",2016 Spanish Grand Prix
3,Sebastian Vettel,"20 years, 89 days",2007 Japanese Grand Prix
4,Charles Leclerc,"21 years, 166 days",2019 Bahrain Grand Prix
5,Sébastien Buemi,"21 years, 225 days",2010 Canadian Grand Prix
6,Fernando Alonso,"21 years, 237 days",2003 Malaysian Grand Prix
7,Robert Kubica,"21 years, 278 days",2006 Italian Grand Prix
8,Esteban Gutiérrez,"21 years, 280 days",2013 Spanish Grand Prix
9,Jimmy Davies,"21 years, 285 days",1951 Indianapolis 500[N 1]
10,Lando Norris,"21 years, 303 days",2021 Italian Grand Prix
Source:[83],Source:[83],Source:[83],Source:[83]
