Unnamed: 0,Driver,Age,Place,Race
1,Max Verstappen,"17 years, 166 days",Ret,2015 Australian Grand Prix
2,Lance Stroll,"18 years, 148 days",Ret,2017 Australian Grand Prix
3,Kimi Antonelli,"18 years, 202 days",4th,2025 Australian Grand Prix
4,Oliver Bearman,"18 years, 305 days",7th,2024 Saudi Arabian Grand Prix
5,Lando Norris,"19 years, 124 days",12th,2019 Australian Grand Prix
6,Jaime Alguersuari,"19 years, 125 days",15th,2009 Hungarian Grand Prix
7,Mike Thackwell,"19 years, 182 days",Ret,1980 Canadian Grand Prix
8,Ricardo Rodríguez,"19 years, 208 days",Ret,1961 Italian Grand Prix
9,Fernando Alonso,"19 years, 218 days",12th,2001 Australian Grand Prix
10,Esteban Tuero,"19 years, 320 days",Ret,1998 Australian Grand Prix
Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4]
