Unnamed: 0,Driver,Starts,Points,Average
1,Max Verstappen,24,143,5.96
2,Lando Norris,24,86,3.58
3,Charles Leclerc,24,84,3.5
4,George Russell,24,80,3.33
5,Carlos Sainz Jr.,24,79,3.29
6,Oscar Piastri,18,71,3.94
7,Lewis Hamilton,24,63,2.63
8,Sergio Pérez,18,53,2.94
9,Yuki Tsunoda,24,16,0.67
10,Kimi Antonelli,6,15,2.5
Source:[109],Source:[109],Source:[109],Source:[109],Source:[109]
