Description,Record,Details,Ref.
Most pit stops by a driver in a race,7,"Alain Prost (1993 European Grand Prix)  Lance Stroll, Liam Lawson, George Russell (2023 Dutch Grand Prix)",[228][229]
Most pit stops by a winning driver in a race,6,Jenson Button (2011 Canadian Grand Prix)[N 24]  Max Verstappen (2023 Dutch Grand Prix),[230][229]
Most positions gained in a race,30,Jim Rathmann (1957 Indianapolis 500),[231]
Most overtakes in a season,95,Sergio Pérez (2023),[232]
Most times being overtaken in a season,70,Charles Pic (2012),[58]
Most driving penalties in a race,5,Esteban Ocon (2023 Austrian Grand Prix),[233]
Most driving penalties in a season,10,Pastor Maldonado (2014),[22][58][234]
Most grid place penalties in a race,70,Jenson Button (2015 Mexican Grand Prix)[N 25],[235]
Shortest time elapsed before earning a penalty,9 seconds,Sebastian Vettel (2006 Turkish Grand Prix)[N 26],[236]
Shortest distance driven in career,2 m,Ernst Loof (1953 German Grand Prix)[N 27],[22][234]
Youngest driver to participate in a session,"17 years, 3 days",Max Verstappen (2014 Japanese Grand Prix),[237]
Most laps driven in career,23084 laps (ongoing),Fernando Alonso,[238]
Longest distance driven in career,115658 km (ongoing),Fernando Alonso,[239]
Highest average speed by a winning driver in a race,250.706 km/h,Max Verstappen (2025 Italian Grand Prix),[240]
Lowest average speed by a winning driver in a race,53.583 km/h,Max Verstappen (2022 Japanese Grand Prix),[241]
Most hat-tricks in a season,6,Max Verstappen (2023),[70]
Most consecutive seasons with a grand slam,5,Max Verstappen (2021–2025) (ongoing),[242]
Most consecutive grand slams,2,"Alberto Ascari (1952 German Grand Prix, 1952 Dutch Grand Prix)  Jim Clark (1963 Dutch Grand Prix, 1963 French Grand Prix and 1965 French Grand Prix, 1965 German Grand Prix)  Sebastian Vettel (2013 Singapore Grand Prix, 2013 Korean Grand Prix)",[242]
Most consecutive races whilst in contention for a championship,176,Lewis Hamilton (2014 Australian Grand Prix - 2022 Italian Grand Prix),
