Unnamed: 0,Driver,Years,Seasons
1,Lewis Hamilton,15,2007–2021
2,Michael Schumacher,13,1994–2006
3,Ayrton Senna,10,1985–1994
4,Nelson Piquet,8,1980–1987
5,Stirling Moss,7,1955–1961
5,Jim Clark,7,1962–1968
5,Max Verstappen,7,2019–2025 (ongoing)
8,Juan Manuel Fangio,6,1953–1958
8,Alain Prost,6,1981–1986
8,Kimi Räikkönen,6,2003–2008
8,Sebastian Vettel,6,2008–2013
Source:[40],Source:[40],Source:[40],Source:[40]
