Unnamed: 0,Driver,Age,Race
1,Giuseppe Farina,"47 years, 79 days",1954 Argentine Grand Prix
2,Juan Manuel Fangio,"46 years, 209 days",1958 Argentine Grand Prix
3,Jack Brabham,"44 years, 17 days",1970 Spanish Grand Prix
4,Mario Andretti,"42 years, 196 days",1982 Italian Grand Prix
5,Nigel Mansell,"41 years, 97 days",1994 Australian Grand Prix
6,Carlos Reutemann,"39 years, 188 days",1981 Caesars Palace Grand Prix
7,Graham Hill,"39 years, 156 days",1968 British Grand Prix
8,Kimi Räikkönen,"38 years, 319 days",2018 Italian Grand Prix
9,Fred Agabashian,"38 years, 283 days",1952 Indianapolis 500[N 1]
10,Alain Prost,"38 years, 241 days",1993 Japanese Grand Prix
Source:[37],Source:[37],Source:[37],Source:[37]
