Unnamed: 0,Driver,Entries,Fastest laps,Percentage
1,Michael Schumacher,308,77,25.00%
2,Lewis Hamilton,380,68,17.89%
3,Kimi Räikkönen,353,46,13.03%
4,Alain Prost,202,41,20.30%
5,Sebastian Vettel,300,38,12.67%
6,Max Verstappen,233,36,15.45%
7,Nigel Mansell,191,30,15.71%
8,Jim Clark,73,28,38.36%
9,Fernando Alonso,428,26,6.07%
10,Mika Häkkinen,165,25,15.15%
Source:[42],Source:[42],Source:[42],Source:[42],Source:[42]
