Unnamed: 0,Driver,Starts,Wins,Percentage
1,Max Verstappen,24,13,54.17%
2,Lando Norris,24,3,12.50%
2,Oscar Piastri,18,3,16.67%
4,Valtteri Bottas,18,2,11.11%
5,George Russell,24,1,4.17%
5,Lewis Hamilton,24,1,4.17%
5,Sergio Pérez,18,1,5.56%
Source:[105],Source:[105],Source:[105],Source:[105],Source:[105]
