Description,Record,Details,Ref.
Most fastest laps with the same constructor,55,Lewis Hamilton (Mercedes),[163]
Fastest laps with most different constructors,6,"Stirling Moss (Mercedes, Maserati, Vanwall, Cooper, Lotus, BRM)",[164]
Most fastest laps at different Grands Prix,27,Lewis Hamilton,[165]
Most fastest laps at different circuits,27,Lewis Hamilton,[166]
Most fastest laps at a driver's national Grand Prix,7,Nigel Mansell,[167]
Most seasons with a fastest lap,18,Lewis Hamilton,[168]
Longest time between first and last fastest lap,"21 years, 15 days",Fernando Alonso (2003 Canadian Grand Prix – 2024 Austrian Grand Prix),[169]
Longest time between successive fastest laps,"7 years, 347 days",Giancarlo Fisichella (1997 Spanish Grand Prix – 2005 Spanish Grand Prix),[170]
Most races between successive fastest laps,132,Giancarlo Fisichella (1997 Spanish Grand Prix – 2005 Spanish Grand Prix),[170]
Most wins with fastest lap,48,Michael Schumacher,[171]
