Unnamed: 0,Driver,Entries,Starts
1,Luca Badoer,58,50[N 13]
2,Charles Pic,39,39
3,Max Chilton,35,35
4,Brett Lunger,43,34
5,Toranosuke Takagi,32,32
6,Mike Beuttler,29,28
6,Enrique Bernoldi,28,28
6,Scott Speed,28,28
9,Ricardo Rosset,33,26
10,Rupert Keegan,37,25
10,Huub Rothengatter,30,25
Sources:[22][76][77],Sources:[22][76][77],Sources:[22][76][77],Sources:[22][76][77]
